Crop,N,P,K,Temperature,Humidity,Moisture,Soil_Type,Fertilizer
Tomato,102,43,78,26.6,72.6,60.7,Loamy,Urea
Maize,25,43,55,35.9,49.1,85.5,Black,NPK
Maize,87,12,55,20.7,59.2,69.8,Loamy,DAP
Rice,38,27,71,22.0,65.2,78.9,Black,Urea
Rice,46,40,58,26.3,66.8,40.2,Sandy,Urea
Rice,126,47,64,21.8,44.2,53.5,Red,Urea
Sugarcane,56,38,68,34.8,85.6,88.9,Sandy,Compost
Tomato,93,47,75,39.3,54.0,41.5,Clay,Organic
Cotton,90,36,26,24.8,43.3,83.9,Black,SSP
Rice,76,79,30,25.1,30.6,67.8,Black,Urea
Rice,39,29,60,15.5,43.0,69.9,Black,Urea
Maize,35,65,52,24.5,72.1,30.0,Sandy,Compost
Maize,115,77,44,18.8,53.8,79.8,Black,NPK
Sugarcane,56,72,63,39.4,30.1,21.9,Loamy,Compost
Millet,78,73,60,31.5,79.9,81.1,Black,SSP
Millet,119,43,37,22.9,54.9,50.1,Black,SSP
Rice,69,55,67,23.3,59.3,20.9,Sandy,DAP
Maize,52,39,15,27.7,69.4,35.8,Sandy,NPK
Maize,31,52,23,26.7,85.5,29.7,Red,NPK
Rice,49,11,38,15.6,79.4,33.6,Sandy,Urea
Tomato,35,75,15,16.9,54.4,23.2,Clay,Organic
Tomato,83,73,74,18.4,46.9,70.1,Sandy,Organic
Millet,127,76,30,20.2,30.0,76.6,Loamy,SSP
Sugarcane,20,37,41,21.3,83.5,54.1,Red,Compost
Tomato,83,30,38,21.8,84.3,58.1,Sandy,Organic
Wheat,132,21,23,20.6,46.4,29.2,Clay,DAP
Sugarcane,84,73,19,18.4,73.3,63.7,Sandy,Compost
Maize,137,33,42,16.4,78.8,82.7,Clay,NPK
Tomato,64,10,52,30.3,40.5,24.1,Clay,Organic
Maize,58,45,20,27.4,30.6,40.6,Loamy,SSP
Sugarcane,94,69,47,16.0,85.7,49.5,Black,Compost
Rice,112,47,69,18.0,66.7,74.8,Loamy,Urea
Sugarcane,70,41,29,18.8,76.9,71.1,Sandy,Compost
Rice,110,74,23,32.1,31.4,60.7,Sandy,Urea
Rice,77,69,53,18.7,56.9,20.4,Red,MOP
Wheat,95,46,30,16.1,57.5,65.9,Clay,DAP
Cotton,89,18,33,36.7,80.0,27.2,Sandy,MOP
Sugarcane,23,68,17,29.4,49.2,52.9,Sandy,Compost
Maize,63,44,44,16.0,71.1,34.6,Black,NPK
Maize,109,16,16,37.5,36.5,72.2,Loamy,DAP
Rice,72,74,12,19.0,66.0,80.2,Clay,Urea
Rice,90,40,61,23.0,49.8,69.4,Loamy,Urea
Millet,75,54,64,34.9,45.6,60.3,Sandy,SSP
Cotton,103,80,39,18.9,48.3,54.5,Black,MOP
Tomato,110,32,52,37.9,33.7,70.5,Clay,Organic
Cotton,105,60,76,16.8,77.2,35.3,Black,MOP
Rice,74,67,33,36.5,47.0,79.7,Loamy,Urea
Cotton,110,73,13,24.3,77.7,79.1,Loamy,MOP
Rice,47,41,58,28.5,49.1,80.8,Clay,Urea
Sugarcane,43,43,59,35.0,31.8,64.5,Clay,Compost
Rice,89,13,20,39.3,43.0,59.9,Red,Urea
Rice,110,65,36,32.3,81.1,29.1,Black,Urea
Rice,111,52,46,17.5,80.6,22.0,Clay,Urea
Sugarcane,84,18,56,24.8,34.4,56.4,Clay,Compost
Tomato,134,22,68,29.5,68.1,36.4,Sandy,Organic
Cotton,38,41,22,37.7,31.0,57.0,Red,MOP
Millet,30,69,37,18.5,40.7,26.4,Black,SSP
Rice,43,51,80,34.4,57.0,30.6,Red,Organic
Wheat,92,33,60,21.6,80.2,37.9,Loamy,DAP
Sugarcane,95,33,20,19.5,87.8,69.3,Sandy,Compost
Cotton,34,11,27,25.8,38.1,73.2,Black,Urea
Cotton,120,72,20,21.3,87.4,53.5,Sandy,MOP
Rice,93,58,28,20.4,79.7,43.0,Sandy,Urea
Cotton,63,43,55,27.3,37.6,52.4,Sandy,MOP
Wheat,55,11,58,34.7,68.1,71.6,Black,DAP
Wheat,121,10,57,28.4,75.3,33.9,Clay,DAP
Tomato,111,10,53,28.7,45.8,38.5,Black,Organic
Wheat,86,53,79,29.8,72.5,74.2,Sandy,DAP
Tomato,59,56,13,18.0,71.8,37.5,Sandy,Organic
Cotton,66,51,51,26.1,35.8,25.3,Sandy,MOP
Rice,29,49,28,15.2,65.2,52.0,Sandy,Urea
Wheat,32,74,21,34.8,57.3,55.4,Clay,DAP
Wheat,81,14,12,15.1,67.1,25.8,Sandy,DAP
Maize,116,59,44,19.4,74.4,69.1,Black,NPK
Tomato,57,26,73,35.5,68.1,34.7,Loamy,SSP
Sugarcane,70,65,56,20.9,87.9,62.0,Black,Compost
Millet,139,78,34,17.0,83.3,28.5,Red,SSP
Wheat,133,39,25,24.8,50.2,81.9,Black,DAP
Wheat,24,53,67,16.1,36.3,66.4,Sandy,DAP
Cotton,73,61,19,29.3,48.0,50.4,Red,MOP
Sugarcane,67,68,70,32.8,82.8,81.7,Clay,Compost
Sugarcane,97,71,17,32.9,35.2,32.2,Loamy,Compost
Rice,60,30,15,17.7,78.2,54.6,Clay,Urea
Tomato,65,78,75,27.0,54.4,73.6,Black,Organic
Maize,109,41,79,38.5,64.6,24.7,Black,NPK
Cotton,93,23,18,23.8,47.0,73.7,Clay,SSP
Sugarcane,70,63,56,35.6,57.6,40.7,Clay,Compost
Cotton,20,19,12,34.0,71.8,41.9,Clay,MOP
Tomato,64,13,80,32.0,37.5,63.7,Clay,Organic
Maize,75,34,76,21.3,71.4,54.4,Loamy,NPK
Tomato,31,77,10,26.1,44.8,21.0,Black,Organic
Maize,67,75,54,38.6,39.7,55.9,Black,NPK
Sugarcane,45,71,71,15.2,43.8,89.4,Red,Compost
Tomato,31,56,29,24.3,88.5,28.1,Black,Organic
Wheat,95,76,35,24.7,72.7,48.2,Black,DAP
Millet,43,75,59,36.8,55.4,72.3,Loamy,SSP
Cotton,74,68,39,25.5,89.6,43.7,Red,MOP
Millet,20,56,32,24.9,62.4,27.3,Loamy,SSP
Cotton,80,68,37,35.5,56.3,55.8,Loamy,MOP
Millet,27,64,32,29.6,67.4,73.5,Red,SSP
Maize,97,71,12,25.5,55.1,29.3,Sandy,NPK
Wheat,115,28,41,34.2,83.7,68.9,Red,DAP
Wheat,36,80,70,19.2,80.9,44.7,Black,DAP
Maize,23,68,70,22.2,54.5,46.9,Black,NPK
Maize,20,45,19,34.8,69.4,85.1,Loamy,NPK
Rice,119,72,28,18.2,62.8,55.5,Clay,Urea
Millet,28,71,12,27.5,42.2,27.1,Red,SSP
Rice,21,59,70,38.9,38.7,73.6,Clay,Urea
Rice,61,66,38,39.7,87.3,22.5,Sandy,Urea
Cotton,49,43,17,25.7,48.2,67.9,Loamy,MOP
Sugarcane,24,29,19,32.9,47.5,32.0,Red,Compost
Maize,126,39,72,19.7,33.8,24.1,Black,NPK
Rice,21,33,77,17.1,30.6,23.9,Red,Urea
Cotton,42,42,41,36.4,69.1,84.7,Black,MOP
Millet,27,32,20,23.9,61.8,86.7,Loamy,SSP
Wheat,130,49,64,16.0,89.5,59.7,Clay,DAP
Maize,22,30,30,26.8,75.3,87.0,Black,NPK
Maize,46,46,53,28.8,83.2,51.6,Loamy,NPK
Maize,40,22,19,30.6,37.8,81.0,Loamy,NPK
Millet,84,38,55,16.0,67.5,36.7,Black,SSP
Rice,115,66,25,35.7,86.8,82.7,Black,MOP
Sugarcane,108,51,47,25.3,62.5,60.0,Black,Compost
Sugarcane,78,41,64,22.9,43.2,59.8,Clay,Compost
Maize,74,56,21,32.2,64.7,51.7,Red,NPK
Sugarcane,70,73,79,34.5,32.1,53.7,Sandy,Compost
Wheat,133,15,28,25.9,55.5,88.4,Loamy,DAP
Tomato,123,30,73,27.2,68.6,76.4,Sandy,Organic
Wheat,127,24,72,17.2,77.0,20.1,Loamy,DAP
Wheat,27,75,71,27.9,81.0,39.8,Clay,DAP
Maize,42,11,40,20.8,61.8,41.4,Black,NPK
Wheat,39,13,22,19.2,69.9,84.1,Sandy,DAP
Tomato,140,74,46,20.0,53.5,28.1,Red,MOP
Millet,23,75,75,35.1,48.0,70.1,Clay,Compost
Sugarcane,46,47,69,39.6,31.7,58.1,Sandy,DAP
Millet,134,13,49,24.6,49.3,82.7,Sandy,SSP
Cotton,55,19,70,39.5,36.9,22.0,Clay,MOP
Millet,105,62,14,21.1,34.1,83.2,Clay,Organic
Wheat,85,27,67,35.3,59.0,31.1,Black,DAP
Sugarcane,126,15,32,20.5,63.3,59.8,Sandy,MOP
Millet,27,56,66,31.9,51.6,21.7,Loamy,SSP
Maize,85,50,13,24.4,69.2,73.3,Clay,NPK
Rice,66,45,26,23.0,57.8,64.7,Red,Urea
Maize,118,10,56,32.2,81.0,22.7,Clay,NPK
Tomato,139,43,59,34.2,32.5,78.1,Loamy,Organic
Wheat,55,54,47,15.3,33.8,23.2,Red,DAP
Wheat,63,21,59,38.6,79.0,61.4,Red,DAP
Maize,65,11,65,24.6,78.7,77.6,Loamy,NPK
Maize,52,56,33,32.2,77.9,60.1,Clay,NPK
Cotton,49,27,61,34.6,73.1,20.1,Red,Urea
Wheat,80,36,51,36.7,65.2,72.0,Red,DAP
Tomato,84,48,59,35.3,82.9,87.2,Clay,MOP
Tomato,62,25,72,17.3,84.8,65.1,Loamy,Organic
Wheat,78,64,13,24.7,55.5,68.3,Clay,Urea
Rice,37,61,34,25.3,75.8,46.9,Clay,Urea
Cotton,112,19,53,36.7,70.7,57.8,Red,MOP
Maize,23,57,69,21.5,89.2,21.8,Loamy,NPK
Millet,44,42,50,17.9,53.0,72.8,Clay,SSP
Maize,127,75,71,36.5,82.1,73.4,Red,SSP
Cotton,27,39,17,25.0,75.6,44.7,Loamy,MOP
Tomato,107,63,12,26.0,85.0,58.0,Sandy,Organic
Maize,100,50,19,29.3,89.2,66.7,Loamy,Compost
Cotton,49,14,56,24.9,38.6,41.7,Loamy,MOP
Millet,57,77,59,33.0,47.8,68.8,Red,SSP
Tomato,102,42,21,37.9,40.6,42.4,Clay,Organic
Maize,91,22,48,33.9,78.0,64.9,Loamy,NPK
Tomato,32,23,66,37.5,71.8,30.9,Sandy,Organic
Tomato,21,42,47,26.2,71.9,26.6,Red,Organic
Wheat,140,64,48,23.4,62.9,47.3,Clay,DAP
Tomato,58,67,61,19.4,75.2,55.7,Loamy,Organic
Millet,133,62,29,19.6,63.6,41.1,Black,SSP
Sugarcane,61,64,34,31.8,31.8,41.0,Clay,Compost
Rice,75,19,36,38.3,80.7,39.5,Clay,Urea
Cotton,129,78,12,16.6,41.1,85.0,Sandy,Organic
Rice,105,49,43,32.8,54.6,75.3,Black,Urea
Cotton,47,62,80,15.8,54.9,85.7,Black,MOP
Millet,56,23,13,19.8,65.9,57.4,Loamy,Urea
Sugarcane,30,23,21,34.6,81.7,43.1,Loamy,Urea
Maize,28,44,53,23.8,44.8,83.7,Loamy,NPK
Millet,128,16,79,20.2,72.6,38.4,Loamy,SSP
Wheat,57,68,25,25.1,53.1,41.6,Black,DAP
Millet,22,59,64,35.5,39.9,89.9,Red,SSP
Cotton,34,31,14,17.0,63.5,20.6,Clay,MOP
Rice,34,34,47,19.7,36.4,23.9,Red,Urea
Rice,36,58,13,27.5,84.8,29.9,Red,Urea
Tomato,22,17,36,17.2,36.0,32.7,Red,Organic
Wheat,47,27,60,39.0,46.5,47.0,Loamy,MOP
Tomato,122,24,40,35.0,55.4,42.9,Clay,Urea
Millet,109,78,28,30.8,88.8,55.2,Loamy,SSP
Cotton,140,69,56,20.3,69.1,69.0,Red,MOP
Maize,32,63,44,28.0,42.2,35.3,Clay,NPK
Rice,69,32,46,36.4,53.4,71.8,Sandy,Urea
Rice,37,24,47,32.7,84.0,72.7,Loamy,NPK
Rice,114,23,77,36.5,41.3,77.2,Red,Urea
Rice,34,18,49,17.0,85.2,69.9,Sandy,Urea
Maize,107,10,23,24.4,64.1,59.4,Sandy,NPK
Rice,74,67,78,30.3,71.2,33.7,Loamy,Urea
Rice,87,37,71,33.2,87.0,50.9,Loamy,Urea
Millet,119,58,25,22.3,83.8,61.9,Sandy,SSP
Millet,30,45,64,31.8,65.6,31.0,Red,SSP
Cotton,109,44,46,27.9,82.6,51.6,Sandy,MOP
Wheat,111,36,73,29.7,57.0,51.1,Sandy,DAP
Wheat,132,66,24,37.1,43.8,72.9,Clay,DAP
Tomato,67,41,51,28.2,85.2,84.6,Sandy,Organic
Wheat,102,28,19,24.3,88.7,35.7,Sandy,NPK
Tomato,28,78,23,25.0,40.3,35.5,Sandy,Organic
Rice,96,57,43,34.8,79.4,61.2,Red,SSP
Millet,46,27,46,22.2,40.6,66.2,Clay,NPK
Millet,115,40,40,37.5,77.6,28.2,Black,SSP
Tomato,51,56,25,33.4,42.4,30.3,Clay,Organic
Sugarcane,130,63,48,31.3,68.6,20.8,Red,DAP
Rice,31,58,61,18.4,76.6,88.0,Red,Urea
Wheat,87,76,46,24.3,69.9,35.9,Sandy,DAP
Wheat,90,75,55,29.2,65.5,44.9,Clay,DAP
Cotton,124,25,60,31.1,63.7,42.3,Black,MOP
Wheat,26,68,80,18.8,53.7,88.7,Black,DAP
Tomato,64,50,67,21.1,86.8,64.9,Sandy,Organic
Millet,119,51,17,22.8,75.2,23.9,Clay,NPK
Cotton,27,52,23,16.5,39.6,84.7,Clay,MOP
Wheat,108,69,39,29.7,52.8,40.0,Black,DAP
Cotton,136,73,51,28.5,46.7,26.9,Red,MOP
Cotton,108,70,45,21.3,55.8,76.3,Red,MOP
Sugarcane,119,28,35,27.1,56.7,50.6,Sandy,Compost
Rice,24,33,42,36.9,53.4,32.2,Sandy,Urea
Rice,85,70,36,30.4,78.7,22.9,Black,Compost
Maize,79,18,47,28.4,58.8,58.4,Red,NPK
Wheat,89,13,50,20.2,40.6,35.0,Clay,DAP
Millet,127,40,13,16.5,43.5,46.2,Clay,SSP
Cotton,112,69,57,28.3,75.4,41.6,Clay,MOP
Maize,104,30,24,35.5,75.1,80.3,Clay,NPK
Maize,120,70,40,22.4,81.7,41.9,Sandy,NPK
Rice,73,43,40,27.8,72.8,37.8,Loamy,Urea
Cotton,103,46,43,28.8,68.3,45.3,Loamy,MOP
Tomato,133,74,13,28.6,41.5,34.6,Clay,Organic
Cotton,115,62,43,20.9,30.9,55.1,Sandy,MOP
Tomato,114,31,59,32.5,84.7,44.1,Red,Organic
Millet,123,25,18,36.5,83.2,21.5,Red,SSP
Sugarcane,135,69,22,29.2,46.5,47.4,Black,Compost
Cotton,51,36,13,16.9,83.5,67.2,Loamy,MOP
Millet,118,58,67,23.1,33.5,53.9,Black,NPK
Tomato,95,49,17,16.7,31.5,27.1,Clay,Organic
Wheat,74,54,80,26.7,44.3,40.1,Black,SSP
Cotton,29,67,72,22.6,32.1,65.5,Clay,MOP
Tomato,76,66,13,28.4,84.1,32.1,Red,Organic
Maize,71,75,46,35.4,37.1,22.0,Loamy,NPK
Sugarcane,20,80,24,17.8,85.0,78.6,Sandy,Compost
Tomato,124,54,10,21.9,66.6,78.1,Loamy,Organic
Cotton,40,48,69,23.6,68.5,59.7,Sandy,MOP
Maize,76,44,58,40.0,83.9,24.6,Sandy,NPK
Millet,78,38,33,33.7,32.8,61.5,Sandy,Organic
Sugarcane,67,24,48,25.5,35.2,60.8,Loamy,Compost
Sugarcane,75,61,13,23.0,37.9,42.8,Loamy,Compost
Maize,83,62,65,32.1,54.3,22.0,Loamy,NPK
Maize,114,73,59,25.9,85.0,41.9,Red,SSP
Rice,69,18,66,29.0,52.4,29.6,Black,Urea
Maize,77,60,17,27.0,68.6,74.9,Red,NPK
Millet,97,40,47,30.0,53.9,24.4,Loamy,SSP
Wheat,24,44,58,25.1,33.5,73.9,Loamy,Urea
Wheat,125,78,62,32.1,50.1,81.9,Clay,DAP
Maize,118,62,70,27.9,66.7,52.5,Sandy,NPK
Cotton,128,53,35,25.3,68.3,55.6,Red,MOP
Sugarcane,47,67,80,35.0,54.2,72.2,Loamy,Compost
Wheat,92,47,72,26.2,59.3,26.2,Clay,DAP
Tomato,54,46,50,29.5,61.8,29.9,Black,Organic
Sugarcane,87,24,76,17.1,43.9,73.4,Black,Compost
Wheat,130,37,69,37.6,57.0,46.3,Clay,MOP
Wheat,115,33,47,35.4,75.8,46.5,Clay,NPK
Rice,32,27,11,32.9,47.0,21.1,Clay,Urea
Sugarcane,24,55,60,23.7,57.0,77.8,Sandy,Compost
Maize,45,80,11,29.3,38.8,54.0,Sandy,NPK
Wheat,62,57,16,26.0,83.1,77.2,Loamy,DAP
Maize,50,61,53,21.0,68.5,51.4,Sandy,NPK
Maize,125,69,56,15.9,76.5,49.0,Clay,NPK
Maize,41,12,29,18.7,39.1,29.7,Black,NPK
Cotton,34,27,44,22.6,76.3,89.2,Red,MOP
Sugarcane,119,19,45,19.2,49.8,53.9,Sandy,Compost
Cotton,26,74,16,17.6,70.3,55.3,Black,MOP
Rice,139,27,37,37.4,59.2,83.9,Loamy,Urea
Cotton,114,71,47,19.3,44.0,64.4,Clay,MOP
Cotton,55,70,68,34.7,71.8,31.9,Black,MOP
Wheat,32,76,51,21.7,38.3,69.9,Loamy,DAP
Tomato,84,77,77,36.1,33.0,25.1,Sandy,Organic
Millet,80,59,12,34.5,79.9,81.8,Red,SSP
Wheat,114,50,53,38.1,69.8,20.8,Loamy,DAP
Maize,72,20,47,39.8,60.9,74.7,Red,NPK
Millet,80,31,12,20.7,64.0,31.1,Clay,SSP
Tomato,121,20,28,28.5,73.8,35.5,Clay,Organic
Rice,78,40,43,25.6,70.2,81.2,Black,Urea
Tomato,36,21,59,39.4,42.3,61.3,Clay,Organic
Rice,107,23,60,26.8,45.0,50.0,Sandy,Urea
Wheat,67,63,26,36.2,43.2,23.4,Loamy,DAP
Tomato,121,11,36,30.4,58.8,63.3,Clay,Organic
Cotton,130,15,46,23.5,52.4,30.1,Red,MOP
Rice,130,75,22,33.3,71.5,32.5,Clay,Organic
Maize,36,31,22,20.9,37.3,50.9,Clay,NPK
Maize,94,75,12,31.6,38.8,27.7,Clay,NPK
Tomato,100,14,55,32.2,56.5,20.7,Sandy,Organic
Tomato,98,75,74,17.1,68.2,54.9,Sandy,Organic
Wheat,73,50,14,29.0,49.1,73.6,Clay,Urea
Wheat,29,13,23,19.0,50.5,21.1,Clay,DAP
Cotton,85,47,63,28.7,77.5,59.7,Clay,MOP
Millet,22,64,63,17.1,52.2,70.0,Black,SSP
Maize,53,50,29,39.8,85.3,29.0,Loamy,NPK
Rice,103,78,38,27.5,47.3,64.8,Loamy,Urea
Tomato,138,54,58,38.5,84.5,44.0,Loamy,Organic
Wheat,23,28,57,39.7,65.9,23.9,Black,DAP
Maize,118,59,56,36.6,40.8,85.1,Black,NPK
Wheat,75,28,79,28.4,41.6,23.1,Sandy,Urea
Rice,86,52,11,15.6,60.3,26.1,Black,Urea
Rice,123,44,63,28.0,90.0,32.8,Loamy,Urea
Tomato,140,47,52,30.9,58.5,82.4,Loamy,Organic
Rice,122,16,48,34.0,61.9,82.0,Red,Urea
Tomato,104,54,32,34.5,49.9,73.2,Clay,Organic
Millet,58,20,16,31.8,45.7,39.1,Black,MOP
Cotton,21,74,60,37.5,72.5,35.0,Red,MOP
Millet,45,37,54,39.8,43.4,76.8,Red,SSP
Millet,110,61,29,15.9,71.3,41.7,Clay,SSP
Cotton,96,79,59,30.1,38.6,88.1,Clay,MOP
Rice,80,53,58,17.7,41.2,41.8,Clay,Urea
Rice,21,41,54,16.3,34.6,29.3,Sandy,Urea
Cotton,62,74,24,26.9,32.9,25.6,Sandy,MOP
Maize,47,46,36,37.0,35.3,89.7,Loamy,NPK
Cotton,135,11,52,32.7,68.7,28.1,Black,MOP
Rice,70,61,25,30.9,43.7,21.1,Clay,Urea
Millet,39,50,36,24.8,36.8,34.6,Red,SSP
Wheat,56,69,50,22.5,54.8,74.6,Black,DAP
Cotton,135,43,21,27.7,67.2,49.1,Clay,MOP
Maize,41,41,57,18.8,51.6,61.7,Black,NPK
Tomato,56,57,63,16.2,58.4,42.1,Red,Organic
Tomato,58,10,72,16.3,34.8,79.9,Loamy,Organic
Wheat,79,12,46,36.0,72.9,71.9,Clay,DAP
Tomato,54,65,67,22.7,43.6,67.2,Sandy,Organic
Millet,139,20,31,26.2,32.0,48.1,Red,SSP
Sugarcane,25,17,72,32.2,32.6,72.7,Loamy,Compost
Wheat,97,44,30,15.0,87.0,20.3,Loamy,DAP
Tomato,75,23,11,25.8,77.1,29.4,Sandy,Organic
Tomato,29,62,60,15.3,62.1,77.4,Black,Organic
Rice,69,34,63,37.1,60.5,89.6,Loamy,Urea
Sugarcane,47,41,34,20.8,73.0,41.2,Clay,Compost
Tomato,93,42,41,36.0,51.5,61.5,Clay,Organic
Rice,31,40,64,24.4,46.1,52.2,Clay,Urea
Sugarcane,31,73,30,32.7,56.2,60.4,Black,Compost
Millet,135,58,33,27.0,56.6,75.2,Red,SSP
Tomato,111,80,24,35.5,68.1,53.6,Clay,Organic
Maize,75,38,60,19.1,61.9,83.3,Black,NPK
Cotton,130,48,26,24.6,68.0,46.3,Loamy,NPK
Tomato,114,72,48,26.6,58.0,61.9,Loamy,Organic
Sugarcane,48,80,67,18.9,45.1,65.7,Sandy,Compost
Millet,32,34,44,22.0,48.5,38.3,Sandy,SSP
Cotton,84,72,34,27.2,38.4,27.5,Red,MOP
Rice,80,30,59,37.3,33.5,62.9,Red,Urea
Sugarcane,37,19,70,22.1,38.1,63.9,Red,Compost
Millet,125,62,55,19.1,59.5,38.8,Loamy,SSP
Maize,80,55,69,31.4,71.1,34.5,Black,NPK
Cotton,132,27,69,34.9,52.3,41.7,Red,MOP
Maize,123,72,61,35.8,38.2,35.2,Loamy,NPK
Rice,46,25,35,32.0,80.9,33.3,Sandy,Urea
Rice,55,17,20,25.1,45.7,69.9,Clay,Urea
Rice,80,40,51,22.0,88.3,60.4,Clay,Urea
Cotton,39,76,64,36.8,79.0,55.2,Clay,MOP
Sugarcane,68,43,44,19.1,41.8,62.4,Sandy,Organic
Tomato,71,63,47,33.0,42.2,55.3,Sandy,Organic
Millet,76,50,22,19.5,77.2,83.3,Loamy,SSP
Maize,125,32,44,35.2,42.9,24.0,Clay,NPK
Sugarcane,107,60,42,33.8,74.9,23.0,Clay,Compost
Wheat,113,33,30,38.1,76.5,39.7,Sandy,DAP
Wheat,93,47,53,31.9,30.9,62.5,Clay,DAP
Tomato,47,60,59,17.9,79.3,28.6,Black,Organic
Rice,130,19,48,31.4,88.4,62.0,Black,Urea
Rice,22,14,52,38.8,83.4,34.6,Black,Urea
Cotton,63,79,47,35.1,36.1,53.3,Black,MOP
Millet,79,20,48,38.3,54.9,34.7,Sandy,SSP
Sugarcane,103,40,18,18.4,44.3,51.7,Loamy,Organic
Cotton,33,67,22,23.0,45.2,88.4,Red,MOP
Tomato,74,57,52,24.1,52.7,29.3,Sandy,Organic
Rice,28,34,59,19.3,31.4,67.6,Loamy,Urea
Wheat,22,50,36,39.3,53.9,46.7,Loamy,DAP
Maize,132,26,13,37.5,52.3,26.8,Black,NPK
Cotton,112,20,12,24.4,79.3,72.3,Clay,MOP
Millet,74,27,76,34.2,54.9,73.5,Loamy,Urea
Millet,79,72,42,35.5,70.7,89.9,Loamy,MOP
Tomato,44,74,61,38.2,59.2,82.8,Loamy,Compost
Maize,137,68,54,38.8,50.5,52.7,Sandy,NPK
Sugarcane,124,42,24,31.3,55.8,47.7,Black,Compost
Cotton,85,54,19,38.4,82.8,51.7,Sandy,MOP
Sugarcane,54,10,18,35.7,86.6,37.2,Loamy,Organic
Maize,35,13,25,26.5,40.8,51.4,Sandy,NPK
Cotton,66,21,46,38.0,59.0,63.3,Black,MOP
Maize,20,33,47,29.5,79.3,37.8,Clay,NPK
Cotton,129,54,49,25.8,35.2,65.5,Black,MOP
Rice,91,67,62,31.3,70.3,31.6,Clay,Urea
Tomato,34,37,65,30.1,76.1,59.9,Sandy,Organic
Millet,76,17,30,31.9,80.8,74.8,Clay,SSP
Sugarcane,43,19,66,34.9,45.5,79.1,Black,Compost
Rice,30,68,19,16.0,55.0,80.9,Black,Urea
Cotton,70,41,76,34.9,64.1,57.5,Sandy,MOP
Rice,94,75,77,25.9,74.5,27.7,Red,Urea
Sugarcane,50,10,78,24.0,56.0,44.5,Red,Compost
Maize,78,34,62,17.2,59.0,22.5,Clay,NPK
Maize,61,62,62,35.7,54.3,27.7,Sandy,Organic
Sugarcane,47,52,77,29.1,82.6,60.1,Loamy,Compost
Millet,41,47,51,25.9,43.9,23.6,Red,SSP
Wheat,131,45,26,35.1,59.1,54.2,Sandy,DAP
Millet,119,76,62,22.2,75.9,57.9,Red,SSP
Millet,32,39,73,37.0,39.8,75.5,Red,SSP
Rice,69,30,34,18.9,51.0,35.4,Clay,SSP
Tomato,100,53,19,33.2,37.4,25.5,Black,Organic
Wheat,124,33,59,16.1,84.4,74.2,Clay,DAP
Millet,76,48,22,34.3,62.7,23.6,Loamy,Compost
Wheat,105,41,76,24.9,84.9,33.6,Red,DAP
Millet,128,53,36,19.7,66.5,43.9,Sandy,MOP
Maize,25,24,21,27.5,82.3,31.6,Sandy,NPK
Sugarcane,23,28,54,29.2,53.7,27.8,Clay,Compost
Rice,61,22,65,24.1,44.8,82.3,Loamy,Urea
Tomato,31,62,43,17.0,59.2,89.5,Black,Organic
Tomato,67,45,65,17.2,75.8,70.4,Clay,Organic
Cotton,23,74,51,33.7,44.3,65.8,Sandy,MOP
Sugarcane,138,71,19,27.2,48.0,64.1,Loamy,Compost
Sugarcane,39,37,15,31.9,65.9,45.1,Loamy,Compost
Wheat,99,46,13,23.3,47.4,27.3,Clay,DAP
Rice,107,71,69,15.9,70.8,77.8,Red,Urea
Tomato,115,38,19,39.5,66.4,65.8,Sandy,Organic
Tomato,96,49,49,25.8,87.2,69.8,Sandy,Urea
Rice,25,43,62,19.8,54.5,67.1,Clay,NPK
Wheat,90,12,31,33.9,58.3,36.5,Black,DAP
Tomato,36,63,77,39.4,75.9,58.3,Sandy,Organic
Millet,134,34,73,29.2,85.8,62.7,Black,SSP
Cotton,32,41,54,27.1,89.9,44.1,Red,MOP
Cotton,97,24,71,35.2,36.6,49.2,Loamy,NPK
Sugarcane,121,79,14,36.9,59.5,82.2,Loamy,Compost
Millet,52,49,30,32.1,35.7,25.2,Loamy,SSP
Tomato,134,37,33,16.2,69.7,46.1,Loamy,Organic
Cotton,75,52,19,37.3,82.0,85.9,Clay,MOP
Millet,75,12,54,24.1,39.6,57.0,Loamy,SSP
Maize,22,20,31,15.5,31.2,39.5,Black,NPK
Millet,64,31,63,35.9,55.9,58.7,Loamy,SSP
Millet,26,75,72,36.5,30.7,57.3,Clay,SSP
Rice,33,18,22,20.1,78.9,86.8,Clay,Urea
Rice,41,15,19,19.6,62.4,76.6,Black,Urea
Tomato,44,27,63,15.4,82.2,40.9,Loamy,Organic
Sugarcane,26,73,75,30.8,40.5,24.6,Loamy,Compost
Maize,93,72,33,17.3,82.4,22.1,Red,NPK
Wheat,93,76,41,35.6,72.6,73.3,Clay,DAP
Tomato,130,37,39,20.8,39.7,39.7,Sandy,Organic
Cotton,32,22,19,39.0,62.2,65.7,Loamy,MOP
Tomato,132,19,58,24.6,30.1,32.4,Red,Organic
Wheat,91,74,24,37.4,68.0,33.3,Loamy,DAP
Maize,60,43,45,24.1,62.2,78.0,Sandy,NPK
Maize,104,49,22,15.6,76.6,87.2,Clay,NPK
Rice,28,59,75,16.2,42.1,84.8,Red,DAP
Rice,83,74,27,28.5,71.5,20.4,Sandy,Urea
Millet,49,29,43,20.5,37.1,31.8,Sandy,Organic
Wheat,137,74,68,39.5,30.1,67.1,Sandy,Urea
