Category,Crop,Disease,Question,Answer,Keywords
Micronutrients,citrus,leaf miner damage,When and how should I harvest citrus to get maximum yield and quality?,Fe deficiency in citrus shows as interveinal chlorosis in young leaves. Apply Fe-EDDHA foliar (0.5%) or chelated Fe with irrigation. Improve drainage and avoid high pH soils. Keep records of inputs and yields each season to refine your plan.,"agriculture,citrus,farming,india,leaf miner damage,micronutrients,red"
NPK Management,turmeric,bacterial leaf streak,What GAP should I follow for turmeric to meet market and export standards?,"In turmeric, excessive N without K increases lodging and disease. Maintain K at 50–60 kg/ha for stalk strength. Use 19:19:19 foliar at flowering for fruit set. Add FYM 5–10 t/ha for long-term soil health. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf streak,farming,india,npk_management,sandy,turmeric"
IPM,ginger,thrips damage,How do I practice organic farming in ginger without losing yield?,"In ginger, light traps and bird perches help manage nocturnal pests. Maintain field hygiene and remove weed hosts. Use need-based sprays only when ETL is crossed. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,ginger,india,ipm,loamy,thrips damage"
Weed Management,garlic,stemphylium blight,What is the best fertilizer dose and schedule for garlic in clay soil?,"In garlic, integrate cultural (crop rotation, cover crops), mechanical (hoeing), and chemical weed control. Use herbicide-tolerant varieties where available. Rotate herbicide modes of action to prevent resistance. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,garlic,india,stemphylium blight,weed_management"
Protected Cultivation,coriander,bacterial leaf spot,What are effective weed control methods for coriander that are safe and cheap?,"In coriander, protected cultivation reduces pesticide use. Combine with biological controls and hygiene. Plan crop cycles to match market demand. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,coriander,farming,india,protected_cultivation,red"
Greenhouse,cumin,aphid damage,"What are the signs of Zn, B, or S deficiency in cumin and how do I correct them?","For cumin, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,aphid damage,cumin,farming,greenhouse,india,sandy"
Hydroponics,rice,tungro virus,What carbon farming practices can I adopt in rice fields?,"For rice, greenhouses enable year-round production. Use insect-proof nets, drip irrigation, and balanced fertigation. Train labor on climate management and IPM. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,hydroponics,india,laterite,rice,tungro virus"
Carbon Farming,wheat,alternaria leaf blight,What GAP should I follow for wheat to meet market and export standards?,"For wheat, agroforestry and perennial systems sequester more carbon. Use diverse rotations and organic amendments. Maintain records for potential carbon income. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf blight,carbon_farming,farming,india,laterite,wheat"
Regenerative Agriculture,maize,stem borer damage,Which machines or implements are useful for maize to save labor and time?,"In maize, combine traditional knowledge with modern science for regenerative outcomes. Use participatory trials and share results with neighbors. Seek technical support from agriculture departments. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,maize,regenerative_agriculture,stem borer damage"
GAP,cotton,pink bollworm damage,How does crop insurance work for cotton and how do I claim?,"For cotton, GAP covers seed quality, soil health, water management, and worker safety. Use protective gear, calibrate sprayers, and keep input records. Train labor on safe handling. Keep records of inputs and yields each season to refine your plan.","agriculture,black,cotton,farming,gap,india,pink bollworm damage"
Insurance,sugarcane,ratoon stunting disease,When and how should I harvest sugarcane to get maximum yield and quality?,"For sugarcane, insurance complements good agronomy. Keep plot-wise records and photos of damage. Understand exclusions and claim processes. Pay premiums on time. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,insurance,ratoon stunting disease,red,sugarcane"
Fertilizer,soybean,yellow mosaic virus,How do I store soybean grains safely to avoid pests and mold?,"For soybean, target 120–150 kg N/ha in high-yield zones. Use 50% N at sowing, 25% at tillering, 25% at panicle initiation. Apply 60 kg P2O5 and 40–60 kg K2O basally. In acidic soils, liming (2–5 t/ha) improves P availability. Use 10–15 t/ha FYM for soil health. Foliar 2% urea at flowering can help under stress.","agriculture,black,farming,fertilizer,india,soybean,yellow mosaic virus"
Disease,tomato,powdery mildew,How does crop insurance work for tomato and how do I claim?,"In tomato, powdery mildew shows white powdery growth on leaves and stems. Prevent by using certified seeds, crop rotation, and balanced NPK. For fungal diseases, spray mancozeb 0.25% or carbendazim 0.1% at first sign. Improve drainage and avoid late evening irrigation. Remove infected debris.","agriculture,clay,disease,farming,india,powdery mildew,tomato"
Pest,potato,mosaic virus,How do I set up protected cultivation or greenhouse for potato?,"For potato, integrate mechanical (handpicking), biological (Trichogramma), and chemical controls. Avoid tank mixes that harm beneficials. Follow label doses and pre-harvest intervals. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,mosaic virus,pest,potato"
Irrigation,onion,downy mildew,How do I move towards regenerative agriculture in onion?,"For onion, maintain even moisture. Deficit at flowering reduces yield by 20–30%. Use alternate furrow irrigation or drip to improve water use efficiency. In water-scarce areas, adopt zero-till and mulching to conserve moisture. Keep records of inputs and yields each season to refine your plan.","agriculture,downy mildew,farming,india,irrigation,onion,sandy"
Weather,chilli,powdery mildew,How do I store chilli grains safely to avoid pests and mold?,"Heavy rain during flowering of chilli causes pollen wash and yield loss. Ensure drainage, use raised beds, and avoid late nitrogen. If lodging risk exists, reduce N and increase K. Keep records of inputs and yields each season to refine your plan.","agriculture,chilli,farming,india,laterite,powdery mildew,weather"
Soil,brinjal,fruit rot,How does crop insurance work for brinjal and how do I claim?,"Best soils for brinjal are deep, well-drained loamy to clay loam with pH 6.0–7.5. In black soils, ensure good drainage to avoid root diseases. In red soils, add 4–6 t/ha FYM and 20–25 kg/ha ZnSO4. In sandy soils, increase organic matter and use split fertilizer doses.","agriculture,brinjal,clay,farming,fruit rot,india,soil"
Government Scheme,cabbage,clubroot,What weather conditions harm cabbage and how do I protect my crop?,"In cabbage, agri-business ideas can access credit via NABARD and agri-clinics schemes. Explore FPO formation, common facility centers, and market linkage programs. Check state horticulture missions for post-harvest support. Keep records of inputs and yields each season to refine your plan.","agriculture,cabbage,clubroot,farming,government_scheme,india,red"
Harvesting,cauliflower,clubroot,What are good intercropping options with cauliflower to increase income?,"For cauliflower, harvest in dry weather. Use sharp sickles or mechanical harvesters to minimize losses. Dry produce to safe moisture (grains 12–14%, pulses 10–12%) before storage. Clean and grade before marketing. Keep records of inputs and yields each season to refine your plan.","agriculture,black,cauliflower,clubroot,farming,harvesting,india"
Marketing,okra,yellow vein mosaic,"How can I control shoot and fruit borer, aphids, jassids, whitefly in okra using IPM and reduce chemical sprays?","For okra, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,marketing,okra,yellow vein mosaic"
Organic Farming,groundnut,collar rot,What water conservation practices work best for groundnut in my area?,"For organic groundnut, use Jeevamrut, Panchagavya, and Amritpani as foliar sprays. Manage weeds mechanically and through mulching. Build soil health with diverse rotations and cover crops. Keep records of inputs and yields each season to refine your plan.","agriculture,collar rot,farming,groundnut,india,loamy,organic_farming"
Yield Improvement,mustard,aphid damage,What GAP should I follow for mustard to meet market and export standards?,"In mustard, precision practices (line sowing, fertigation, leaf color chart for N) raise yields. Use crop-specific advisories and weather-based inputs. Maintain field records for next season planning. Keep records of inputs and yields each season to refine your plan.","agriculture,aphid damage,farming,india,loamy,mustard,yield_improvement"
Seed Selection,sunflower,head rot,What are good intercropping options with sunflower to increase income?,"For sunflower, seed treatment reduces seed-borne diseases. Use hot water treatment or solarization for some crops. Label bags with variety, lot, and date. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,head rot,india,seed_selection,sunflower"
Storage,bajra,smut,How do I select and treat seeds for bajra to improve germination?,"For bajra, maintain ventilation in stores. Use insect-proof screens. In humid areas, prefer hermetic storage. Avoid storing near chemicals or fertilizers to prevent contamination. Keep records of inputs and yields each season to refine your plan.","agriculture,bajra,farming,india,sandy,smut,storage"
Post-Harvest,jowar,downy mildew,How do I store jowar grains safely to avoid pests and mold?,"In jowar, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,downy mildew,farming,india,jowar,post-harvest"
Mechanization,ragi,bacterial leaf streak,How do I set up protected cultivation or greenhouse for ragi?,"In ragi, use power tillers or tractors with appropriate implements. Adopt zero-till where feasible to save time and fuel. Train operators on safe handling and maintenance. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf streak,farming,india,laterite,mechanization,ragi"
Intercropping,gram,ascochyta blight,Which irrigation method saves the most water for gram without reducing yield?,"In gram, intercropping breaks pest cycles and improves biodiversity. Select crops with different canopy heights and root depths. Monitor for pest shifts and adjust management. Keep records of inputs and yields each season to refine your plan.","agriculture,ascochyta blight,farming,gram,india,intercropping,laterite"
Crop Rotation,pigeon pea,sterility mosaic,"What are the signs of Zn, B, or S deficiency in pigeon pea and how do I correct them?","In pigeon pea, rotation reduces soil-borne diseases and weeds. Select crops with different nutrient demands. Maintain field records to plan rotations effectively. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,crop_rotation,farming,india,pigeon pea,sterility mosaic"
Water Conservation,green gram,bacterial leaf spot,"How can I control pod borer, aphids, whitefly, thrips in green gram using IPM and reduce chemical sprays?","For green gram, use alternate wetting and drying (AWD) where feasible. Recycle field drainage and harvest rainwater in ponds. Maintain field bunds and channels. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,black,farming,green gram,india,water_conservation"
Micronutrients,black gram,yellow mosaic virus,How do I move towards regenerative agriculture in black gram?,B deficiency in black gram causes poor fruit set and hollow stems. Apply borax (10–15 kg/ha) or foliar 0.2% boron at flowering. Avoid overuse; excess B is toxic. Keep records of inputs and yields each season to refine your plan.,"agriculture,black gram,farming,india,laterite,micronutrients,yellow mosaic virus"
NPK Management,banana,sigatoka leaf spot,What are effective weed control methods for banana that are safe and cheap?,"In banana, high K improves water use efficiency and disease resistance. Apply K in splits; avoid late heavy K. Use SOP or MOP based on crop and soil Cl tolerance. Keep records of inputs and yields each season to refine your plan.","agriculture,banana,black,farming,india,npk_management,sigatoka leaf spot"
IPM,mango,bacterial canker,How can I increase yield in mango with better agronomy and protection?,"In mango, light traps and bird perches help manage nocturnal pests. Maintain field hygiene and remove weed hosts. Use need-based sprays only when ETL is crossed. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial canker,farming,india,ipm,loamy,mango"
Weed Management,papaya,ring spot virus,What are effective weed control methods for papaya that are safe and cheap?,"For papaya, hand weeding is effective but labor-intensive. Combine with pre-emergence sprays and mulching. Keep field borders clean to reduce weed seed bank. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,papaya,red,ring spot virus,weed_management"
Protected Cultivation,grapes,botrytis bunch rot,What is the best fertilizer dose and schedule for grapes in sandy soil?,"In grapes, protected cultivation reduces pesticide use. Combine with biological controls and hygiene. Plan crop cycles to match market demand. Keep records of inputs and yields each season to refine your plan.","agriculture,botrytis bunch rot,farming,grapes,india,protected_cultivation,sandy"
Greenhouse,pomegranate,fruit rot,What is the best fertilizer dose and schedule for pomegranate in laterite soil?,"In pomegranate, hydroponics saves water and nutrients. Maintain EC and pH in recommended ranges. Use sterile media and prevent root diseases with sanitation. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,fruit rot,greenhouse,india,laterite,pomegranate"
Hydroponics,citrus,powdery mildew,How do I implement IPM in citrus step by step?,"For citrus, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,citrus,clay,farming,hydroponics,india,powdery mildew"
Carbon Farming,turmeric,thrips damage,What GAP should I follow for turmeric to meet market and export standards?,"In turmeric, precision fertilizer use reduces N2O emissions. Use urease inhibitors and split N applications. Combine with renewable energy for irrigation. Keep records of inputs and yields each season to refine your plan.","agriculture,carbon_farming,farming,india,sandy,thrips damage,turmeric"
Regenerative Agriculture,ginger,thrips damage,How do I select and treat seeds for ginger to improve germination?,"For ginger, integrate trees, shrubs, and perennials to enhance resilience. Use organic amendments and biological pest control. Build local knowledge and community practices. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,ginger,india,red,regenerative_agriculture,thrips damage"
GAP,garlic,bacterial soft rot,How do I select and treat seeds for garlic to improve germination?,"Good Agricultural Practices (GAP) in garlic include record-keeping, safe pesticide use, and traceability. Follow pre-harvest intervals and maintain field hygiene. Adopt GAP for market access and premiums. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial soft rot,farming,gap,garlic,india,laterite"
Insurance,coriander,alternaria blight,What carbon farming practices can I adopt in coriander fields?,"For coriander, explore state-specific insurance top-ups and micro-insurance. Maintain communication with insurance agents. File claims promptly with required documents. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,alternaria blight,coriander,farming,india,insurance"
Fertilizer,cumin,powdery mildew,How can I increase yield in cumin with better agronomy and protection?,"Use 60–100 kg N/ha for cumin depending on rainfall and soil. Apply basal NPK (12:32:16 or 15:15:15) at 150–200 kg/ha at sowing, then top-dress urea in 2–3 splits. Include 20–25 kg/ha ZnSO4 where soils are alkaline. For irrigated conditions, split N at vegetative, flowering, and pod/fruit setting. In rainfed areas, use slow-release N and mulch to reduce losses.","agriculture,clay,cumin,farming,fertilizer,india,powdery mildew"
Disease,rice,sheath blight,What is the best fertilizer dose and schedule for rice in loamy soil?,"In rice, sheath blight spreads in warm, humid conditions. Use protective sprays (mancozeb 0.25%) before monsoon peaks. Combine with resistant varieties and avoid overhead irrigation. Rotate with non-host crops to break disease cycles. Keep records of inputs and yields each season to refine your plan.","agriculture,disease,farming,india,loamy,rice,sheath blight"
Pest,wheat,alternaria leaf blight,What carbon farming practices can I adopt in wheat fields?,"Common pests in wheat include aphids, armyworm, termites, grasshoppers. Monitor with pheromone traps (10–12/ha). Use need-based sprays: emamectin benzoate or spinosad for larvae; imidacloprid for sucking pests. Preserve natural enemies; avoid broad-spectrum sprays early. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf blight,farming,india,loamy,pest,wheat"
Irrigation,maize,stem borer damage,What are effective weed control methods for maize that are safe and cheap?,"Use 4–6 irrigations for maize depending on soil and rainfall. First irrigation 20–25 days after sowing, then at tillering, flowering, and grain filling. Drip/fertigation saves 30–40% water and improves uniformity. Mulching reduces evaporation. Avoid late heavy irrigation to prevent lodging.","agriculture,farming,india,irrigation,maize,sandy,stem borer damage"
Weather,cotton,alternaria leaf spot,How do I manage alternaria leaf spot in cotton? What are the symptoms and spray schedule?,"In drought-prone areas, select short-duration cotton varieties. Use mulching, zero-till, and deficit irrigation. Apply 2% KNO3 foliar to mitigate heat stress. Avoid late sowing in rainfed zones. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cotton,farming,india,red,weather"
Soil,sugarcane,leaf scald,When and how should I harvest sugarcane to get maximum yield and quality?,"For sugarcane, avoid continuous monocropping. Rotate with legumes to improve N and soil health. Add 5–10 t/ha FYM and practice conservation tillage to enhance infiltration and reduce erosion. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,leaf scald,soil,sugarcane"
Government Scheme,soybean,frogeye leaf spot,How does crop insurance work for soybean and how do I claim?,"For soybean, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,frogeye leaf spot,government_scheme,india,soybean"
Harvesting,tomato,bacterial wilt,What are effective weed control methods for tomato that are safe and cheap?,"In tomato, early harvest reduces field losses and aflatoxin risk. Dry on clean tarps; avoid direct soil contact. Use moisture meters to ensure safe storage levels. Store in fumigated, rodent-proof structures. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,clay,farming,harvesting,india,tomato"
Marketing,potato,late blight,What is the best fertilizer dose and schedule for potato in laterite soil?,"In potato, agri-business ideas can access credit via NABARD and agri-clinics schemes. Explore FPO formation, common facility centers, and market linkage programs. Check state horticulture missions for post-harvest support. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,late blight,laterite,marketing,potato"
Organic Farming,onion,purple blotch,How do I store onion grains safely to avoid pests and mold?,"For organic onion, use well-decomposed FYM (10–15 t/ha), vermicompost (2–3 t/ha), and biofertilizers (Rhizobium, PSB, Azotobacter). Avoid synthetic fertilizers and pesticides. Use neem-based products and botanicals for pest control. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,onion,organic_farming,purple blotch"
Yield Improvement,chilli,anthracnose,What is the best fertilizer dose and schedule for chilli in clay soil?,"For chilli, target 10–15% higher yield by adopting improved varieties, micro-irrigation, and INM. Ensure timely sowing, proper spacing, and timely weeding. Use foliar nutrients at critical stages. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,chilli,clay,farming,india,yield_improvement"
Seed Selection,brinjal,bacterial wilt,What is the best fertilizer dose and schedule for brinjal in clay soil?,"In brinjal, procure seeds from certified agencies. Check germination before sowing; aim for >85%. Avoid storage in humid conditions. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,brinjal,clay,farming,india,seed_selection"
Storage,cabbage,downy mildew,"How can I control diamondback moth, aphids, head borer in cabbage using IPM and reduce chemical sprays?","For cabbage, maintain ventilation in stores. Use insect-proof screens. In humid areas, prefer hermetic storage. Avoid storing near chemicals or fertilizers to prevent contamination. Keep records of inputs and yields each season to refine your plan.","agriculture,cabbage,downy mildew,farming,india,red,storage"
Post-Harvest,cauliflower,black rot,When and how should I harvest cauliflower to get maximum yield and quality?,"For cauliflower, maintain ventilation in stores. Use insect-proof screens. In humid areas, prefer hermetic storage. Avoid storing near chemicals or fertilizers to prevent contamination. Keep records of inputs and yields each season to refine your plan.","agriculture,black rot,cauliflower,farming,india,loamy,post-harvest"
Mechanization,okra,bacterial leaf spot,What is a good NPK plan for okra to avoid lodging and disease?,"In okra, use power tillers or tractors with appropriate implements. Adopt zero-till where feasible to save time and fuel. Train operators on safe handling and maintenance. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,clay,farming,india,mechanization,okra"
Intercropping,groundnut,collar rot,What GAP should I follow for groundnut to meet market and export standards?,"Intercropping groundnut with legumes improves soil N and reduces pest pressure. Use compatible row ratios (e.g., 2:1 or 4:2). Manage nutrients and irrigation for both crops. Keep records of inputs and yields each season to refine your plan.","agriculture,collar rot,farming,groundnut,india,intercropping,loamy"
Crop Rotation,mustard,white rust,"What soil type and pH are ideal for mustard, and how do I improve my soil?","In mustard, plan rotations around water availability. Use drought-tolerant crops in dry years and high-value crops in wet years. Maintain soil cover year-round. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,crop_rotation,farming,india,mustard,white rust"
Water Conservation,sunflower,downy mildew,How should I plan crop rotation with sunflower to improve soil health?,"For sunflower, line canals and use pipes to reduce conveyance losses. Adopt laser leveling for uniform water distribution. Train farmers on efficient irrigation practices. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,downy mildew,farming,india,sunflower,water_conservation"
Micronutrients,bajra,blast,When and how should I harvest bajra to get maximum yield and quality?,"Zn deficiency in bajra shows as interveinal chlorosis and stunting. Apply ZnSO4 (20–25 kg/ha) basally or foliar 0.5% ZnSO4 + 0.25% lime. In alkaline soils, band Zn near roots for better uptake. Keep records of inputs and yields each season to refine your plan.","agriculture,bajra,blast,farming,india,micronutrients,sandy"
NPK Management,jowar,rust,How do I set up protected cultivation or greenhouse for jowar?,"In jowar, excessive N without K increases lodging and disease. Maintain K at 50–60 kg/ha for stalk strength. Use 19:19:19 foliar at flowering for fruit set. Add FYM 5–10 t/ha for long-term soil health. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,jowar,npk_management,rust,sandy"
IPM,ragi,blast,How does crop insurance work for ragi and how do I claim?,"For ragi, combine mechanical (handpicking), biological (parasitoids), and chemical controls. Calibrate sprayers; apply at correct growth stage. Follow pre-harvest intervals and safety norms. Keep records of inputs and yields each season to refine your plan.","agriculture,blast,farming,india,ipm,ragi,sandy"
Weed Management,gram,alternaria blight,"What soil type and pH are ideal for gram, and how do I improve my soil?","In gram, avoid waterlogging which favors weeds. Use narrow row spacing and early canopy closure to suppress weeds. Scout fields regularly and remove weeds before seed set. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria blight,clay,farming,gram,india,weed_management"
Protected Cultivation,pigeon pea,wilt,What are good intercropping options with pigeon pea to increase income?,"For pigeon pea, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,pigeon pea,protected_cultivation,wilt"
Greenhouse,green gram,anthracnose,Which machines or implements are useful for green gram to save labor and time?,"In green gram, hydroponics saves water and nutrients. Maintain EC and pH in recommended ranges. Use sterile media and prevent root diseases with sanitation. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,black,farming,green gram,greenhouse,india"
Hydroponics,black gram,powdery mildew,What are effective weed control methods for black gram that are safe and cheap?,"For black gram, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,black gram,clay,farming,hydroponics,india,powdery mildew"
Carbon Farming,banana,panama wilt,What is a good NPK plan for banana to avoid lodging and disease?,"For banana, integrate livestock and manure management to recycle nutrients and carbon. Use compost and biochar where feasible. Monitor soil health indicators. Keep records of inputs and yields each season to refine your plan.","agriculture,banana,carbon_farming,farming,india,laterite,panama wilt"
Regenerative Agriculture,mango,powdery mildew,What weather conditions harm mango and how do I protect my crop?,"In mango, combine traditional knowledge with modern science for regenerative outcomes. Use participatory trials and share results with neighbors. Seek technical support from agriculture departments. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,mango,powdery mildew,regenerative_agriculture"
GAP,papaya,anthracnose,What are good intercropping options with papaya to increase income?,"For papaya, GAP aligns with food safety and export requirements. Maintain field maps, input logs, and harvest records. Use clean containers and cold chain where needed. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,gap,india,loamy,papaya"
Insurance,grapes,black rot,What GAP should I follow for grapes to meet market and export standards?,"In grapes, combine insurance with savings and credit for resilience. Diversify crops and income sources. Seek advisory on risk reduction and insurance options. Keep records of inputs and yields each season to refine your plan.","agriculture,black rot,farming,grapes,india,insurance,laterite"
Fertilizer,pomegranate,leaf spot,How do I store pomegranate grains safely to avoid pests and mold?,"For pomegranate, start with a soil test. In most alluvial/loamy soils, apply 80–120 kg N/ha, 40–60 kg P2O5/ha, and 40–60 kg K2O/ha in splits. At sowing, place full P and K plus 1/3 N near the seed. Top-dress remaining N at tillering/vegetative stage and again at flowering. Add 5–10 t/ha FYM or compost before sowing. Use ZnSO4 (20–25 kg/ha) if deficient. Avoid excessive urea to prevent lodging and disease.","agriculture,alluvial,farming,fertilizer,india,leaf spot,pomegranate"
Disease,citrus,powdery mildew,How do I store citrus grains safely to avoid pests and mold?,"In citrus, powdery mildew spreads in warm, humid conditions. Use protective sprays (mancozeb 0.25%) before monsoon peaks. Combine with resistant varieties and avoid overhead irrigation. Rotate with non-host crops to break disease cycles. Keep records of inputs and yields each season to refine your plan.","agriculture,citrus,disease,farming,india,laterite,powdery mildew"
Pest,turmeric,thrips damage,What carbon farming practices can I adopt in turmeric fields?,"In turmeric, pests like rhizome scale, thrips, shoot borer cause yield loss. Use sticky traps for whiteflies/aphids. Apply recommended insecticides at correct doses. Maintain field hygiene and remove weed hosts. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,loamy,pest,thrips damage,turmeric"
Irrigation,ginger,rhizome rot,How do I select and treat seeds for ginger to improve germination?,"In ginger, schedule irrigation based on soil type: sandy soils need frequent light irrigation; clay soils need fewer but deeper irrigations. Use tensiometer at 15–20 cm depth; irrigate at −20 to −30 kPa. Avoid drought at flowering to prevent yield loss.","agriculture,black,farming,ginger,india,irrigation,rhizome rot"
Weather,garlic,downy mildew,When and how should I harvest garlic to get maximum yield and quality?,"In drought-prone areas, select short-duration garlic varieties. Use mulching, zero-till, and deficit irrigation. Apply 2% KNO3 foliar to mitigate heat stress. Avoid late sowing in rainfed zones. Keep records of inputs and yields each season to refine your plan.","agriculture,downy mildew,farming,garlic,india,laterite,weather"
Soil,coriander,bacterial leaf spot,Which government schemes can I use for coriander cultivation and marketing?,"In coriander, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bacterial leaf spot,coriander,farming,india,soil"
Government Scheme,cumin,downy mildew,What is the best fertilizer dose and schedule for cumin in loamy soil?,"In cumin, agri-business ideas can access credit via NABARD and agri-clinics schemes. Explore FPO formation, common facility centers, and market linkage programs. Check state horticulture missions for post-harvest support. Keep records of inputs and yields each season to refine your plan.","agriculture,cumin,downy mildew,farming,government_scheme,india,loamy"
Harvesting,rice,brown spot,How do I store rice grains safely to avoid pests and mold?,"For rice, harvest at correct stage to maintain quality. Handle gently to avoid bruising. Sort and grade immediately; pack in clean, dry containers. Avoid evening harvest in high humidity to reduce disease. Keep records of inputs and yields each season to refine your plan.","agriculture,black,brown spot,farming,harvesting,india,rice"
Marketing,wheat,karnal bunt,How does crop insurance work for wheat and how do I claim?,"For wheat, MSP announcements and procurement vary by state. Register on e-NAM for better market access. FPO membership can improve bargaining power. Explore agri-infrastructure funds for storage and processing. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,karnal bunt,loamy,marketing,wheat"
Organic Farming,maize,downy mildew,How do I move towards regenerative agriculture in maize?,"In maize, organic systems need strong IPM: traps, biocontrol agents, and botanicals. Ensure adequate K and micronutrients from organic sources. Plan harvest and post-harvest to maintain organic integrity. Keep records of inputs and yields each season to refine your plan.","agriculture,downy mildew,farming,india,maize,organic_farming,sandy"
Yield Improvement,cotton,alternaria leaf spot,What is the best fertilizer dose and schedule for cotton in clay soil?,"To improve yield in cotton, use certified seeds, optimal plant population, and balanced NPK. Manage pests/diseases proactively and avoid water stress at flowering. Harvest at correct maturity and dry properly. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,clay,cotton,farming,india,yield_improvement"
Seed Selection,sugarcane,ratoon stunting disease,How do I implement IPM in sugarcane step by step?,"For sugarcane, select seeds from healthy plants, free from disease. Maintain seed purity and avoid mixing varieties. Use seed replacement every 2–3 years for best results. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,ratoon stunting disease,red,seed_selection,sugarcane"
Storage,soybean,frogeye leaf spot,How should I plan crop rotation with soybean to improve soil health?,"In soybean, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,frogeye leaf spot,india,sandy,soybean,storage"
Post-Harvest,tomato,leaf curl virus,Which machines or implements are useful for tomato to save labor and time?,"In tomato, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,leaf curl virus,loamy,post-harvest,tomato"
Mechanization,potato,mosaic virus,What are good intercropping options with potato to increase income?,"For potato, combine harvesters reduce field losses but require proper adjustment. Use moisture meters to decide harvest time. Store machinery under cover to extend life. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,mechanization,mosaic virus,potato,sandy"
Intercropping,onion,neck rot,How can I increase yield in onion with better agronomy and protection?,"In onion, intercropping breaks pest cycles and improves biodiversity. Select crops with different canopy heights and root depths. Monitor for pest shifts and adjust management. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,intercropping,neck rot,onion,sandy"
