Crop,State,Soil_Type,Rainfall_mm,Temperature_C,Area_Hectare,Yield_ton_per_hectare,Production_ton,Estimated_Revenue_INR
Rice,Gujarat,Laterite,579.5,33.7,87.36,4.65,406.22,8936840.0
Sugarcane,Maharashtra,Black,747.6,30.1,92.92,75.95,7057.27,24700445.0
Soybean,Karnataka,Laterite,1783.6,28.6,49.9,2.15,107.28,4827600.0
Maize,UP,Laterite,709.3,35.2,33.74,5.28,178.15,3206700.0
Potato,Karnataka,Red,321.1,23.4,30.21,23.24,702.08,10531200.0
Cotton,Punjab,Loamy,1584.2,37.4,82.87,2.35,194.74,12658100.0
Onion,Karnataka,Black,901.2,17.4,98.19,18.69,1835.17,33033060.0
Potato,Karnataka,Red,310.2,24.6,45.23,23.52,1063.81,15957150.0
Sugarcane,Karnataka,Alluvial,1173.7,29.3,26.89,77.99,2097.15,7340025.0
Soybean,Punjab,Black,1301.7,26.6,16.81,2.09,35.13,1580850.0
Onion,Karnataka,Black,1258.1,38.5,37.39,19.03,711.53,12807540.0
Cotton,Punjab,Red,1017.3,26.4,98.89,2.47,244.26,15876900.0
Soybean,Gujarat,Loamy,1669.2,33.9,80.4,2.03,163.21,7344450.0
Cotton,Punjab,Loamy,1609.7,17.0,45.23,2.31,104.48,6791200.0
Soybean,Maharashtra,Loamy,468.3,35.7,90.39,1.89,170.84,7687800.0
Cotton,UP,Loamy,524.8,23.2,52.51,2.34,122.87,7986550.0
Wheat,Punjab,Loamy,1033.2,37.5,45.1,3.62,163.26,3428460.0
Rice,Gujarat,Red,1069.9,26.4,6.72,4.95,33.26,731720.0
Potato,Karnataka,Black,893.9,35.4,74.83,23.19,1735.31,26029650.0
Millet,Maharashtra,Black,935.5,32.5,54.58,2.29,124.99,3499720.0
Rice,Maharashtra,Laterite,347.6,25.2,77.13,4.74,365.6,8043200.0
Tomato,Karnataka,Laterite,972.8,37.9,38.37,30.23,1159.93,13919160.0
Wheat,UP,Red,1280.3,23.7,18.67,3.86,72.07,1513470.0
Onion,Gujarat,Loamy,491.0,39.5,83.65,18.14,1517.41,27313380.0
Rice,Karnataka,Laterite,1310.2,28.6,53.66,5.05,270.98,5961560.0
Cotton,Punjab,Laterite,819.2,21.9,93.8,2.34,219.49,14266850.0
Wheat,Maharashtra,Laterite,1222.4,38.4,89.02,3.61,321.36,6748560.0
Cotton,Punjab,Black,451.3,15.8,60.18,2.16,129.99,8449350.0
Rice,Punjab,Black,903.4,20.9,22.51,4.65,104.67,2302740.0
Rice,Punjab,Loamy,1790.2,20.9,91.72,4.85,444.84,9786480.0
Millet,Karnataka,Loamy,1196.9,31.8,32.75,2.34,76.63,2145640.0
Sugarcane,Punjab,Loamy,631.6,22.5,7.03,73.01,513.26,1796410.0
Millet,Punjab,Laterite,1133.8,16.2,35.1,2.15,75.47,2113160.0
Tomato,UP,Alluvial,1344.5,25.2,30.69,33.04,1014.0,12168000.0
Maize,UP,Laterite,661.5,20.6,85.9,5.26,451.83,8132940.0
Maize,Gujarat,Black,1143.6,39.2,56.17,5.17,290.4,5227200.0
Maize,Gujarat,Red,682.5,23.3,8.83,5.41,47.77,859860.0
Potato,Karnataka,Black,1103.5,35.7,6.1,23.34,142.37,2135550.0
Tomato,UP,Loamy,359.3,16.8,80.66,28.93,2333.49,28001880.0
Millet,UP,Red,1019.1,36.7,33.96,2.21,75.05,2101400.0
Rice,Punjab,Red,1743.1,17.9,99.96,4.69,468.81,10313820.0
Potato,Punjab,Loamy,1355.7,24.9,24.69,24.72,610.34,9155100.0
Soybean,Karnataka,Laterite,999.4,31.2,31.53,2.03,64.01,2880450.0
Soybean,UP,Laterite,999.0,35.1,72.52,1.95,141.41,6363450.0
Soybean,Punjab,Alluvial,769.4,16.1,86.54,1.83,158.37,7126650.0
Maize,Maharashtra,Alluvial,1130.0,29.6,72.28,5.69,411.27,7402860.0
Sugarcane,Punjab,Red,794.8,24.5,83.5,75.06,6267.51,21936285.0
Potato,UP,Alluvial,686.0,35.5,96.68,22.94,2217.84,33267600.0
Potato,Gujarat,Red,1399.2,23.8,14.86,24.5,364.07,5461050.0
Onion,Gujarat,Red,1675.3,28.6,64.54,21.39,1380.51,24849180.0
Rice,UP,Black,1558.6,16.9,81.98,4.6,377.11,8296420.0
Rice,Maharashtra,Laterite,506.2,30.8,7.73,4.77,36.87,811140.0
Maize,Maharashtra,Red,1058.6,24.3,62.17,5.56,345.67,6222060.0
Millet,Gujarat,Laterite,323.6,28.3,41.72,2.33,97.21,2721880.0
Rice,UP,Alluvial,1103.6,22.2,50.72,4.76,241.43,5311460.0
Tomato,Punjab,Black,1677.1,28.1,24.86,34.38,854.69,10256280.0
Millet,UP,Alluvial,1522.8,21.7,40.29,2.31,93.07,2605960.0
Soybean,Gujarat,Laterite,1147.5,39.8,23.36,1.87,43.68,1965600.0
Wheat,Maharashtra,Black,907.9,24.4,48.12,3.82,183.82,3860220.0
Rice,Punjab,Black,1049.8,25.8,78.65,4.92,386.96,8513120.0
Millet,Maharashtra,Loamy,1678.7,20.7,90.23,2.31,208.43,5836040.0
Millet,Gujarat,Alluvial,369.8,16.9,92.63,2.08,192.67,5394760.0
Onion,UP,Black,569.0,36.3,2.55,18.85,48.07,865260.0
Cotton,UP,Red,1428.4,32.8,40.43,2.44,98.65,6412250.0
Wheat,Karnataka,Red,1145.9,29.2,85.09,3.95,336.11,7058310.0
Onion,Karnataka,Laterite,1433.4,18.5,98.86,19.39,1916.9,34504200.0
Wheat,UP,Alluvial,380.5,25.9,84.03,3.79,318.47,6687870.0
Soybean,UP,Loamy,1732.3,24.9,77.58,2.09,162.14,7296300.0
Rice,Karnataka,Laterite,1035.9,23.9,94.17,4.83,454.84,10006480.0
Tomato,Punjab,Loamy,1291.0,17.1,62.24,30.37,1890.23,22682760.0
Cotton,Maharashtra,Black,702.0,24.5,78.61,2.39,187.88,12212200.0
Maize,Gujarat,Alluvial,841.1,17.3,94.35,5.12,483.07,8695260.0
Potato,Karnataka,Alluvial,453.3,17.2,43.67,21.9,956.37,14345550.0
Onion,UP,Loamy,912.1,15.7,36.04,18.36,661.69,11910420.0
Wheat,UP,Loamy,1476.7,36.6,2.22,3.73,8.28,173880.0
Tomato,Gujarat,Black,1387.3,29.0,99.28,33.68,3343.75,40125000.0
Cotton,UP,Loamy,554.4,24.5,14.75,2.38,35.1,2281500.0
Sugarcane,Karnataka,Laterite,518.9,19.2,28.32,70.15,1986.65,6953275.0
Sugarcane,Gujarat,Black,841.7,38.6,72.37,69.89,5057.94,17702790.0
Potato,UP,Loamy,593.3,17.7,31.16,22.17,690.82,10362300.0
Tomato,Karnataka,Loamy,869.8,36.6,44.58,30.5,1359.69,16316280.0
Tomato,UP,Red,750.7,30.1,69.83,32.41,2263.19,27158280.0
Potato,Karnataka,Red,1746.9,39.2,29.85,23.2,692.52,10387800.0
Potato,UP,Red,788.8,22.0,78.8,23.41,1844.71,27670650.0
Soybean,Maharashtra,Loamy,599.7,39.9,18.81,1.82,34.23,1540350.0
Onion,Maharashtra,Laterite,1714.5,20.2,79.97,19.98,1597.8,28760400.0
Wheat,Gujarat,Laterite,508.8,22.6,26.02,3.68,95.75,2010750.0
Maize,Gujarat,Laterite,410.9,39.8,48.44,4.95,239.78,4316040.0
Tomato,UP,Loamy,1685.2,36.7,42.41,31.64,1341.85,16102200.0
Rice,Karnataka,Loamy,1190.7,37.9,11.83,4.58,54.18,1191960.0
Cotton,Karnataka,Red,1270.5,16.1,98.38,2.25,221.35,14387750.0
Tomato,Karnataka,Laterite,458.9,17.5,22.98,29.3,673.31,8079720.0
Onion,UP,Loamy,1331.5,20.5,38.04,19.7,749.39,13489020.0
Potato,UP,Loamy,526.1,39.9,48.79,21.71,1059.23,15888450.0
Sugarcane,Gujarat,Black,474.1,38.5,15.03,68.73,1033.01,3615535.0
Sugarcane,Karnataka,Laterite,1476.4,28.0,35.48,79.98,2837.69,9931915.0
Wheat,Gujarat,Laterite,778.4,22.5,81.21,3.72,302.1,6344100.0
Wheat,Maharashtra,Alluvial,1272.0,31.9,17.27,3.87,66.83,1403430.0
Cotton,UP,Red,1127.9,23.3,43.21,2.41,104.14,6769100.0
Potato,Punjab,Laterite,1244.6,19.7,66.07,23.35,1542.73,23140950.0
Tomato,Maharashtra,Loamy,1624.6,26.2,43.53,33.76,1469.57,17634840.0
Rice,Punjab,Red,717.5,32.6,79.8,4.73,377.45,8303900.0
Millet,Maharashtra,Loamy,580.4,23.1,46.3,2.25,104.17,2916760.0
Sugarcane,Gujarat,Loamy,1748.9,22.8,39.48,77.0,3039.96,10639860.0
Tomato,UP,Black,821.9,36.1,62.12,30.59,1900.25,22803000.0
Sugarcane,UP,Loamy,427.1,18.3,12.67,69.17,876.38,3067330.0
Sugarcane,Maharashtra,Red,860.0,18.5,39.46,70.78,2792.98,9775430.0
Millet,Punjab,Loamy,875.6,19.6,63.91,2.2,140.6,3936800.0
Maize,UP,Red,1034.5,18.5,32.14,5.23,168.09,3025620.0
Potato,UP,Black,1598.3,38.8,48.98,23.13,1132.91,16993650.0
Cotton,Gujarat,Loamy,1058.2,27.4,68.78,2.5,171.95,11176750.0
Tomato,Gujarat,Laterite,550.9,29.1,79.79,32.44,2588.39,31060680.0
Cotton,Karnataka,Black,712.3,28.4,17.65,2.47,43.6,2834000.0
Potato,UP,Laterite,1124.6,17.8,12.31,22.77,280.3,4204500.0
Onion,Karnataka,Loamy,1533.9,16.0,72.18,18.98,1369.98,24659640.0
Onion,Punjab,Laterite,453.6,35.8,75.38,18.85,1420.91,25576380.0
Sugarcane,Maharashtra,Laterite,694.2,36.6,9.61,70.89,681.25,2384375.0
Wheat,Punjab,Red,1516.1,29.7,35.71,3.99,142.48,2992080.0
Millet,Gujarat,Red,1224.2,34.6,81.54,2.27,185.1,5182800.0
Rice,UP,Alluvial,1098.4,29.9,17.67,4.95,87.47,1924340.0
Sugarcane,Karnataka,Loamy,701.0,36.5,98.56,70.99,6996.77,24488695.0
Wheat,Punjab,Laterite,1678.2,39.8,86.84,3.64,316.1,6638100.0
Maize,Punjab,Red,519.4,23.1,25.51,5.36,136.73,2461140.0
Tomato,Gujarat,Red,1166.1,21.7,42.01,31.66,1330.04,15960480.0
Potato,Maharashtra,Black,904.3,33.7,69.78,23.61,1647.51,24712650.0
Soybean,Gujarat,Laterite,790.9,15.1,77.64,1.81,140.53,6323850.0
Wheat,Gujarat,Alluvial,1575.2,34.9,40.37,3.81,153.81,3230010.0
Tomato,Punjab,Laterite,702.8,35.7,34.44,30.55,1052.14,12625680.0
Millet,Punjab,Loamy,1578.6,34.7,89.52,2.31,206.79,5790120.0
Rice,Maharashtra,Black,1239.3,35.9,2.61,4.69,12.24,269280.0
Maize,Gujarat,Laterite,301.0,39.0,21.03,4.97,104.52,1881360.0
Maize,Karnataka,Red,1611.6,36.9,10.24,5.41,55.4,997200.0
Soybean,Karnataka,Black,857.8,37.6,17.39,1.89,32.87,1479150.0
Tomato,Karnataka,Red,943.8,17.3,10.42,29.94,311.97,3743640.0
Cotton,Gujarat,Black,499.0,20.7,68.32,2.28,155.77,10125050.0
Rice,Maharashtra,Alluvial,1525.7,39.7,42.81,4.57,195.64,4304080.0
Maize,Gujarat,Black,643.4,17.2,80.79,5.07,409.61,7372980.0
Wheat,Karnataka,Alluvial,1621.5,18.4,77.57,3.71,287.78,6043380.0
Maize,Punjab,Black,1095.8,15.2,65.35,5.07,331.32,5963760.0
Potato,Karnataka,Red,1242.1,18.8,41.76,23.13,965.91,14488650.0
Potato,Punjab,Black,1644.9,18.5,13.19,23.5,309.96,4649400.0
Tomato,Karnataka,Laterite,771.8,18.5,28.42,30.07,854.59,10255080.0
Wheat,Punjab,Loamy,1201.5,33.0,29.21,3.82,111.58,2343180.0
Rice,Karnataka,Red,1076.6,27.7,75.04,5.02,376.7,8287400.0
Sugarcane,Maharashtra,Red,1042.3,17.8,50.46,70.87,3576.1,12516350.0
Millet,Maharashtra,Loamy,1633.1,15.3,36.75,2.18,80.12,2243360.0
Soybean,Punjab,Laterite,1591.2,29.2,37.18,2.12,78.82,3546900.0
Maize,Gujarat,Black,325.0,16.7,26.96,4.96,133.72,2406960.0
Rice,Maharashtra,Laterite,1059.9,30.7,50.6,4.9,247.94,5454680.0
Tomato,Gujarat,Laterite,423.6,28.4,61.99,32.48,2013.44,24161280.0
Sugarcane,Maharashtra,Alluvial,418.5,38.0,97.46,68.91,6715.97,23505895.0
Maize,UP,Alluvial,886.1,30.9,83.62,5.56,464.93,8368740.0
Wheat,Karnataka,Laterite,1394.9,36.2,6.73,3.73,25.1,527100.0
Wheat,Gujarat,Black,980.1,30.2,31.62,3.88,122.69,2576490.0
Maize,Maharashtra,Black,1361.9,32.5,17.22,5.59,96.26,1732680.0
Soybean,UP,Loamy,1474.5,33.0,17.53,2.03,35.59,1601550.0
Maize,Karnataka,Black,1457.1,15.7,80.9,5.18,419.06,7543080.0
Sugarcane,UP,Black,694.4,39.4,63.13,68.79,4342.71,15199485.0
Potato,Gujarat,Loamy,840.2,27.5,57.12,24.79,1416.0,21240000.0
Soybean,Punjab,Alluvial,1460.0,37.4,67.74,1.94,131.42,5913900.0
Wheat,Punjab,Loamy,303.9,36.5,2.22,3.53,7.84,164640.0
Rice,Gujarat,Alluvial,874.5,18.8,93.18,4.55,423.97,9327340.0
Rice,UP,Laterite,636.8,21.2,91.67,4.61,422.6,9297200.0
Soybean,Karnataka,Black,1157.3,18.0,67.66,1.9,128.55,5784750.0
Rice,Punjab,Red,1506.5,39.5,95.45,4.57,436.21,9596620.0
