State,District,Market,Crop,Variety,Arrival_Tonnes,Modal_Price,Min_Price,Max_Price,Price_Trend,Demand,Supply,Quality,MSP_Available,Export_Demand,Storage_Available,Season,Weather_Impact,Transport_Cost_Per_Tonne,Distance_From_Farm_KM,Market_Rating,Best_Time_To_Sell,Expected_Price_7_Days,Expected_Price_30_Days,Last_Updated
Karnataka,Bijapur,Sangli,Maize,Yellow Maize,10681,1253,1094,1608,Stable,High,High,Good,Yes,Medium,Yes,Kharif,Cold Wave,2048,249,3.2,Hold for 30 Days,1239,1275,2026-08-02
Maharashtra,Solapur,Lucknow,Cotton,PKV Rajat,2215,3825,3343,4236,Falling,Medium,High,Good,No,High,No,Rabi,Cold Wave,3435,390,4.7,Within 10 Days,3746,3305,2026-07-25
Andhra Pradesh,Guntur,Jaipur,Soybean,Pusa Bold,11886,4101,3505,4918,Rising,High,Low,Premium,Yes,Low,Yes,Rabi,Normal,1308,306,4.5,Next Week,4420,4435,2026-07-31
Punjab,Patiala,Mysuru,Maize,White Maize,2511,1586,1443,1724,Falling,Low,Low,Average,No,Low,Yes,Rabi,Drought,3509,156,4.3,Within 3 Days,1506,1365,2026-07-26
Telangana,Rangareddy,Pune,Millet,Bajra Millet,5235,2240,1888,2523,Falling,High,Medium,Good,Yes,Low,Yes,Kharif,Normal,412,139,3.4,Today,2188,1993,2026-07-29
Telangana,Medak,Bhopal,Grapes,Manik Chaman,6640,5974,4635,6586,Stable,High,Low,Premium,Yes,Low,Yes,Zaid,Cold Wave,3500,305,4.3,Within 10 Days,6017,5714,2026-07-27
Odisha,Berhampur,Azadpur,Potato,Kufri Jyoti,525,1356,1170,1705,Rising,Medium,Low,Premium,Yes,Low,Yes,Rabi,Flood,392,88,4.0,Next Week,1425,1529,2026-07-29
Gujarat,Bhavnagar,Kolhapur,Onion,Bellary Red,3209,3386,2576,4308,Falling,High,Medium,Average,Yes,Medium,No,Perennial,Heavy Rain,4484,189,3.1,Hold for 30 Days,3149,2931,2026-08-01
Chhattisgarh,Dhamtari,Chennai,Cotton,Bt Cotton,8386,4197,3484,4966,Rising,High,High,Premium,Yes,High,Yes,Perennial,Cold Wave,2139,169,3.5,Within 10 Days,4361,4753,2026-07-24
Uttar Pradesh,Varanasi,Kurnool,Wheat,Sharbati Wheat,8500,4244,3741,4939,Falling,High,Medium,Premium,No,High,Yes,Zaid,Heatwave,1943,154,4.1,Next Week,4092,3710,2026-07-28
Andhra Pradesh,Prakasam,Bhopal,Tomato,Arka Saurabh,3164,1475,1164,1730,Falling,High,High,Average,Yes,High,No,Kharif,Drought,3382,382,4.5,Today,1375,1398,2026-07-27
Rajasthan,Jaipur,Kolhapur,Onion,Red Onion,3823,2940,2434,3768,Stable,High,Low,Average,Yes,Medium,Yes,Perennial,Heavy Rain,913,308,4.1,Hold for 15 Days,2959,2831,2026-07-29
Haryana,Fatehabad,Warangal,Mango,Bangalora Mango,5395,2805,2553,3132,Rising,Medium,Medium,Average,Yes,Medium,Yes,Kharif,Cold Wave,1646,235,3.9,Hold for 15 Days,2881,3045,2026-07-30
Rajasthan,Udaipur,Salem,Onion,Red Onion,695,2780,2104,3629,Stable,Low,Medium,Good,Yes,Low,Yes,Rabi,Heavy Rain,3214,207,4.0,Within 10 Days,2757,2868,2026-07-31
Maharashtra,Ahmednagar,Coimbatore,Turmeric,Rajapur Turmeric,9063,7029,6220,7821,Rising,High,High,Premium,Yes,Medium,Yes,Rabi,Cold Wave,3581,195,4.4,Within 10 Days,7205,7792,2026-08-01
Maharashtra,Pune,Belagavi,Turmeric,Salem Turmeric,3757,3669,2856,4531,Falling,Medium,High,Average,No,High,No,Kharif,Heavy Rain,3435,354,3.9,Next Week,3422,3187,2026-07-29
Rajasthan,Jodhpur,Azadpur,Potato,Kufri Chipsona,8223,856,682,956,Rising,Medium,Low,Premium,Yes,Medium,Yes,Perennial,Normal,3241,250,4.1,Hold for 15 Days,890,947,2026-07-28
Madhya Pradesh,Gwalior,Hubli,Rice,Sona Masuri,947,5019,4069,6211,Falling,High,Medium,Premium,Yes,High,Yes,Rabi,Drought,2275,141,4.1,Within 10 Days,4634,4766,2026-07-30
Andhra Pradesh,Chittoor,Kota,Soybean,JS-335,9757,3972,2998,5041,Falling,Medium,Low,Average,Yes,Low,Yes,Perennial,Heatwave,4741,163,3.4,Today,3675,3468,2026-07-30
Maharashtra,Aurangabad,Guntur,Rice,Sona Masuri,875,5848,5225,6826,Rising,High,Medium,Premium,Yes,Low,Yes,Kharif,Drought,4611,191,4.9,Next Week,6212,6527,2026-07-24
Karnataka,Bijapur,Solapur,Chilli,Byadgi Chilli,7207,3592,3125,4424,Falling,Low,Medium,Average,No,Low,Yes,Rabi,Heatwave,3399,162,4.5,Next Week,3332,3314,2026-07-24
Madhya Pradesh,Ratlam,Azadpur,Soybean,Co-1,10066,4320,3343,5534,Rising,High,Low,Premium,No,Low,No,Rabi,Normal,1026,367,4.3,Within 10 Days,4636,4728,2026-07-29
Punjab,Jalandhar,Kolkata,Maize,Yellow Maize,1820,1133,990,1520,Falling,Low,High,Good,No,High,No,Zaid,Normal,4773,197,3.2,Hold for 15 Days,1095,1028,2026-07-23
Punjab,Amritsar,Salem,Maize,Hybrid Maize,378,1375,1071,1624,Rising,Medium,Medium,Average,Yes,High,Yes,Zaid,Normal,4254,365,3.1,Within 10 Days,1416,1566,2026-07-31
Maharashtra,Pune,Indore,Tomato,Deshi Tomato,2905,2137,1842,2479,Stable,Low,Low,Premium,Yes,Low,No,Perennial,Flood,1558,32,3.7,Hold for 15 Days,2101,2206,2026-07-23
Andhra Pradesh,Prakasam,Belagavi,Cotton,MCU-5,2848,3714,2980,4409,Falling,Low,Medium,Good,No,High,Yes,Perennial,Heatwave,1814,194,4.8,Next Week,3458,3173,2026-07-26
Rajasthan,Udaipur,Nagpur,Onion,Ratnagiri Red,669,2269,2013,2704,Rising,Low,Low,Average,Yes,High,Yes,Perennial,Heavy Rain,4580,219,4.9,Within 10 Days,2432,2490,2026-07-30
Rajasthan,Udaipur,Pune,Mango,Bangalora Mango,2106,4712,3652,6296,Stable,Low,Low,Good,Yes,Low,Yes,Rabi,Heavy Rain,1878,69,3.1,Today,4804,4681,2026-07-23
Gujarat,Patan,Sangli,Chilli,Teja Chilli,406,6018,5389,7343,Stable,Medium,Low,Premium,No,Medium,Yes,Perennial,Heavy Rain,1525,80,4.1,Hold for 30 Days,6080,6282,2026-08-01
Andhra Pradesh,Kurnool,Varanasi,Garlic,G-4,6782,8186,6986,8923,Falling,Medium,Medium,Good,No,Low,Yes,Perennial,Normal,617,207,4.8,Next Week,7870,6998,2026-07-26
Chhattisgarh,Durg,Visakhapatnam,Banana,Grand Naine,5015,2902,2224,3814,Stable,Medium,Medium,Premium,No,Medium,No,Zaid,Normal,2507,378,3.8,Within 10 Days,2854,2885,2026-07-27
Odisha,Baripada,Bhopal,Millet,Ragi Millet,2160,2314,1894,2986,Stable,High,High,Average,Yes,Medium,Yes,Rabi,Heavy Rain,1944,34,3.5,Hold for 15 Days,2272,2281,2026-07-30
Haryana,Fatehabad,Lucknow,Turmeric,Rajapur Turmeric,2652,6990,5823,8391,Rising,High,Low,Good,No,High,No,Rabi,Flood,2418,388,4.7,Today,7249,7609,2026-07-31
West Bengal,Jalpaiguri,Bhopal,Tomato,Deshi Tomato,3738,2200,1841,2889,Stable,Low,High,Average,Yes,Medium,No,Rabi,Cold Wave,1718,312,4.6,Within 3 Days,2178,2267,2026-07-29
Odisha,Sambalpur,Karnal,Mango,Dasheri Mango,1082,5326,4740,6323,Stable,High,Medium,Premium,Yes,Medium,No,Zaid,Flood,2745,355,3.2,Today,5291,5206,2026-07-28
West Bengal,Siliguri,Sangli,Garlic,Yamuna Safed-3,8525,6331,5480,8070,Falling,High,High,Average,No,Low,No,Zaid,Heatwave,3728,212,3.8,Today,6045,6011,2026-07-30
Uttar Pradesh,Kanpur,Chennai,Pulses,Rajma,3763,4158,3712,5474,Falling,Low,Medium,Premium,No,Low,Yes,Perennial,Flood,1348,384,3.5,Hold for 30 Days,4015,3610,2026-07-23
Chhattisgarh,Rajnandgaon,Mysuru,Maize,White Maize,3709,1088,864,1261,Falling,Low,Medium,Premium,No,Medium,Yes,Kharif,Normal,4168,104,4.0,Within 10 Days,1025,957,2026-08-02
West Bengal,Durgapur,Kolhapur,Tomato,Cherry Tomato,2382,1744,1538,2113,Stable,Medium,High,Average,Yes,Medium,No,Kharif,Flood,338,236,3.5,Within 3 Days,1749,1684,2026-08-01
Gujarat,Patan,Karnal,Grapes,Manik Chaman,2005,2985,2609,3989,Stable,Medium,High,Good,Yes,High,Yes,Kharif,Flood,2338,120,4.4,Next Week,2962,2866,2026-07-25
Andhra Pradesh,Tirupati,Hubli,Maize,Hybrid Maize,4814,1579,1274,2083,Stable,Medium,Low,Premium,No,Low,No,Zaid,Normal,1843,89,4.9,Hold for 15 Days,1548,1535,2026-07-31
Punjab,Ludhiana,Ahmedabad,Millet,Jowar Millet,1551,2581,2047,3160,Falling,Low,Low,Premium,Yes,High,Yes,Kharif,Heavy Rain,695,358,3.2,Hold for 15 Days,2433,2335,2026-07-26
Odisha,Rourkela,Belagavi,Rice,Sona Masuri,2760,5502,4692,6145,Falling,High,Low,Premium,Yes,Low,No,Kharif,Flood,1170,259,3.4,Within 3 Days,5318,5134,2026-07-30
Uttar Pradesh,Meerut,Solapur,Soybean,Non-GMO Soybean,2083,3642,2733,4593,Falling,High,Low,Premium,No,Medium,Yes,Kharif,Drought,4491,43,4.4,Today,3548,3330,2026-07-26
Haryana,Sirsa,Salem,Wheat,Basmati Wheat,696,3944,3453,4360,Falling,Medium,Medium,Premium,Yes,Low,Yes,Rabi,Heatwave,2992,188,4.8,Hold for 30 Days,3691,3641,2026-07-28
West Bengal,Malda,Hubli,Cotton,PKV Rajat,3991,5458,4835,6850,Stable,Medium,Medium,Premium,Yes,Medium,Yes,Kharif,Flood,1605,58,3.8,Hold for 30 Days,5454,5495,2026-07-26
Gujarat,Patan,Ludhiana,Banana,Nendran,3583,3479,2897,4591,Falling,Low,Low,Good,Yes,High,Yes,Zaid,Heavy Rain,2874,11,4.4,Within 10 Days,3310,3215,2026-07-24
Punjab,Bathinda,Kurnool,Millet,Kodo Millet,10179,1965,1634,2474,Stable,High,Medium,Average,No,Low,Yes,Kharif,Cold Wave,395,334,4.9,Hold for 30 Days,1992,2034,2026-07-31
Karnataka,Hassan,Indore,Potato,Kufri Bahar,874,1051,860,1201,Stable,Low,High,Good,No,Low,No,Kharif,Normal,4383,233,3.6,Hold for 15 Days,1061,1000,2026-07-27
Madhya Pradesh,Indore,Hyderabad,Pulses,Toor Dal,3293,7165,6058,9004,Falling,Low,Low,Good,No,Low,No,Kharif,Heavy Rain,2126,237,3.7,Hold for 30 Days,6849,6603,2026-07-28
Odisha,Baripada,Nashik,Cotton,NHH-44,85,5743,4816,7291,Falling,Medium,Medium,Premium,Yes,Low,No,Rabi,Heatwave,3652,59,3.5,Within 3 Days,5348,5415,2026-07-27
Punjab,Gurdaspur,Lucknow,Tomato,Arka Saurabh,1815,3249,2504,4291,Stable,Medium,High,Good,Yes,Low,No,Kharif,Normal,4644,381,3.1,Hold for 15 Days,3293,3243,2026-07-25
Bihar,Bhagalpur,Kolkata,Soybean,PK-416,1746,3364,2811,3982,Stable,Medium,Low,Average,Yes,Low,No,Perennial,Heatwave,3108,155,3.9,Within 3 Days,3315,3398,2026-07-25
Haryana,Panipat,Coimbatore,Chilli,Teja Chilli,9119,4358,3777,5790,Rising,Low,High,Premium,Yes,High,No,Kharif,Cold Wave,3185,292,4.0,Hold for 30 Days,4691,4885,2026-07-23
Odisha,Jharsuguda,Solapur,Grapes,Thompson Grapes,486,6254,4750,7205,Rising,High,Medium,Premium,No,High,No,Rabi,Drought,808,358,4.6,Within 3 Days,6661,6586,2026-07-26
Karnataka,Raichur,Coimbatore,Pulses,Moong Dal,10652,5474,4750,5981,Stable,Low,Medium,Good,No,High,No,Zaid,Cold Wave,4823,32,3.0,Next Week,5408,5675,2026-07-26
West Bengal,Asansol,Warangal,Banana,Nendran,3074,1607,1327,2162,Rising,Low,High,Premium,Yes,Low,Yes,Kharif,Drought,3390,25,3.9,Hold for 30 Days,1664,1713,2026-07-29
Maharashtra,Solapur,Salem,Sugarcane,Co-86032 Sugarcane,5335,342,274,442,Stable,Low,High,Average,No,Low,Yes,Zaid,Heatwave,4604,117,4.9,Hold for 30 Days,336,342,2026-07-27
Tamil Nadu,Thoothukudi,Ludhiana,Maize,Yellow Maize,3545,1020,802,1308,Falling,Low,Medium,Average,No,Medium,Yes,Kharif,Heatwave,3134,233,3.5,Within 10 Days,975,930,2026-08-02
Telangana,Mahabubnagar,Ludhiana,Cotton,PKV Rajat,8901,4706,3940,5728,Stable,Low,Medium,Good,Yes,High,No,Rabi,Normal,2924,268,3.2,Today,4643,4920,2026-07-25
Tamil Nadu,Salem,Mysuru,Maize,White Maize,10363,1403,1180,1781,Rising,High,Low,Average,No,Medium,Yes,Rabi,Cold Wave,494,240,4.4,Today,1438,1480,2026-07-29
Tamil Nadu,Chennai,Ahmedabad,Potato,Kufri Bahar,1639,1371,1032,1729,Falling,Medium,Low,Average,Yes,Medium,Yes,Kharif,Flood,894,188,4.9,Today,1285,1259,2026-07-24
Karnataka,Gadag,Bhopal,Turmeric,Alleppey Turmeric,3417,4348,3423,5572,Rising,Low,High,Average,No,Medium,Yes,Zaid,Flood,3356,10,4.1,Hold for 30 Days,4471,4583,2026-07-24
Andhra Pradesh,Chittoor,Hyderabad,Pulses,Toor Dal,3491,4892,4012,6136,Falling,Low,Low,Average,Yes,Low,Yes,Rabi,Normal,2108,320,4.7,Within 3 Days,4534,4486,2026-07-24
West Bengal,Kolkata,Coimbatore,Pulses,Masoor Dal,9055,6385,4895,8146,Rising,High,Medium,Good,No,Low,No,Rabi,Cold Wave,2221,56,3.6,Today,6857,6907,2026-07-26
Uttar Pradesh,Moradabad,Chennai,Garlic,G-100,674,6551,5101,7629,Falling,Low,Low,Premium,No,Medium,No,Zaid,Drought,1400,352,4.5,Hold for 15 Days,6208,5803,2026-07-29
Rajasthan,Sikar,Nashik,Soybean,PK-416,385,2645,2313,3304,Rising,Medium,High,Average,Yes,Low,Yes,Kharif,Drought,3618,398,4.2,Today,2785,2920,2026-07-25
Rajasthan,Jodhpur,Kota,Mango,Langra Mango,3053,4131,3161,4867,Stable,Medium,High,Premium,Yes,Medium,Yes,Rabi,Drought,3955,86,3.4,Hold for 30 Days,4157,4324,2026-07-26
Uttar Pradesh,Agra,Nagpur,Groundnut,GG-10,1132,3609,3024,4668,Stable,Medium,High,Good,No,High,No,Kharif,Heavy Rain,626,337,3.6,Within 10 Days,3676,3657,2026-07-29
West Bengal,Siliguri,Ahmedabad,Pulses,Chana Dal,6221,3516,2945,4154,Stable,Low,Medium,Premium,No,Medium,No,Zaid,Heatwave,4288,251,4.8,Today,3516,3389,2026-07-31
Punjab,Fatehgarh Sahib,Kurnool,Onion,White Onion,3112,1476,1272,1759,Stable,High,Medium,Good,Yes,Low,No,Perennial,Heatwave,4224,112,4.2,Within 10 Days,1495,1405,2026-08-02
Gujarat,Patan,Ahmedabad,Soybean,JS-335,8449,3811,3025,4301,Rising,High,Low,Good,Yes,High,No,Kharif,Cold Wave,2074,234,4.2,Hold for 15 Days,4085,4066,2026-07-27
Andhra Pradesh,Visakhapatnam,Varanasi,Soybean,Co-1,8419,2790,2529,3462,Stable,Medium,High,Premium,Yes,Low,No,Perennial,Cold Wave,1383,60,3.0,Hold for 30 Days,2830,2791,2026-07-27
West Bengal,Durgapur,Jaipur,Cotton,Bt Cotton,3742,5717,5018,6318,Stable,Low,Low,Average,Yes,High,Yes,Perennial,Flood,4576,220,3.7,Today,5762,5676,2026-07-26
Bihar,Arrah,Kota,Cotton,PKV Rajat,4220,5890,5295,7011,Falling,Medium,High,Premium,Yes,High,Yes,Kharif,Heatwave,4557,8,3.8,Within 3 Days,5661,5192,2026-07-28
Karnataka,Mysuru,Karnal,Onion,Nasik Red,1784,2062,1811,2457,Falling,Low,Medium,Average,No,Low,Yes,Zaid,Drought,4880,289,4.0,Next Week,1968,1912,2026-07-27
Odisha,Rourkela,Coimbatore,Cotton,NHH-44,7367,4695,3840,5499,Rising,Low,High,Average,Yes,High,Yes,Perennial,Heatwave,343,51,4.6,Hold for 15 Days,5049,5134,2026-08-01
Haryana,Rohtak,Kota,Maize,HQPM-1,3017,1433,1144,1920,Stable,Medium,Medium,Premium,Yes,Low,No,Perennial,Heavy Rain,387,108,4.7,Hold for 30 Days,1420,1366,2026-07-24
Tamil Nadu,Thoothukudi,Kolkata,Potato,Kufri Surya,11093,759,695,837,Stable,High,Medium,Good,No,High,No,Perennial,Heatwave,3621,305,3.4,Today,766,726,2026-08-01
Tamil Nadu,Tiruchirappalli,Patna,Pulses,Chana Dal,5743,6502,5904,8031,Rising,Medium,High,Good,Yes,Low,No,Kharif,Normal,4876,42,4.0,Next Week,7001,7349,2026-07-29
Chhattisgarh,Ambikapur,Lucknow,Onion,Bellary Red,1594,2504,2168,3310,Falling,Low,Medium,Premium,No,High,Yes,Zaid,Flood,853,200,4.3,Within 3 Days,2405,2185,2026-07-28
Madhya Pradesh,Ujjain,Kurnool,Pulses,Toor Dal,4364,7970,6080,10611,Falling,High,Medium,Good,No,High,No,Rabi,Cold Wave,4999,142,3.4,Within 10 Days,7659,7499,2026-07-26
Odisha,Berhampur,Nagpur,Potato,Kufri Bahar,3805,950,838,1056,Falling,High,High,Premium,No,Low,Yes,Kharif,Heatwave,4250,195,4.2,Hold for 15 Days,925,891,2026-07-24
West Bengal,Siliguri,Guntur,Soybean,Co-1,6568,4835,4283,5846,Rising,High,Low,Average,Yes,High,No,Perennial,Normal,1731,239,5.0,Within 10 Days,5082,5229,2026-08-02
Maharashtra,Nagpur,Ludhiana,Cotton,Surabhi,10089,4023,3201,5386,Falling,Medium,High,Good,No,Low,Yes,Perennial,Normal,3772,112,3.8,Next Week,3789,3580,2026-07-26
Gujarat,Patan,Kolhapur,Potato,Kufri Jyoti,4472,1266,980,1695,Falling,High,Low,Premium,No,Medium,Yes,Rabi,Cold Wave,3753,260,3.3,Within 10 Days,1203,1167,2026-07-26
Haryana,Sirsa,Hyderabad,Wheat,PBW-343,2878,4724,4216,5224,Falling,High,High,Average,No,High,No,Zaid,Heavy Rain,3251,291,4.1,Next Week,4443,4209,2026-07-28
West Bengal,Jalpaiguri,Belagavi,Pulses,Moong Dal,5868,7877,7099,9317,Falling,Medium,Low,Good,No,Low,Yes,Rabi,Normal,3063,220,4.3,Hold for 30 Days,7438,7409,2026-08-01
Gujarat,Bhavnagar,Nagpur,Chilli,Kashmiri Chilli,4823,5133,4086,6160,Stable,Low,Medium,Good,No,Low,No,Rabi,Cold Wave,1806,16,3.3,Within 3 Days,5166,5359,2026-08-01
Punjab,Amritsar,Ludhiana,Cotton,MCU-5,3887,6201,5203,8364,Rising,Medium,Low,Premium,No,High,Yes,Kharif,Heavy Rain,3493,163,3.5,Within 10 Days,6430,6899,2026-07-31
Tamil Nadu,Coimbatore,Lasalgaon,Wheat,WH-1105,5378,4446,3670,5965,Falling,Medium,Medium,Average,Yes,Low,No,Perennial,Normal,4588,332,4.3,Next Week,4332,3993,2026-07-30
Bihar,Gaya,Salem,Garlic,AGT-1,1114,9850,8752,12893,Rising,High,Medium,Good,No,High,No,Kharif,Flood,4329,391,4.0,Today,10499,11128,2026-07-24
Punjab,Ludhiana,Hyderabad,Banana,Robusta,3663,1558,1357,1954,Rising,Low,Medium,Good,Yes,Medium,No,Kharif,Flood,3758,325,3.5,Hold for 30 Days,1664,1742,2026-07-29
Telangana,Medak,Varanasi,Onion,Pune Red,1171,3527,2918,4240,Rising,High,High,Average,No,Medium,Yes,Zaid,Heatwave,458,82,3.1,Hold for 30 Days,3602,4046,2026-07-29
Haryana,Hisar,Kolkata,Turmeric,Nanded Turmeric,1003,4996,4037,5815,Falling,High,High,Good,No,High,No,Kharif,Heavy Rain,3005,46,4.7,Within 3 Days,4613,4634,2026-08-01
Tamil Nadu,Vellore,Hubli,Tomato,Cherry Tomato,3442,2872,2530,3445,Rising,High,High,Average,Yes,Low,Yes,Perennial,Flood,1069,271,4.3,Within 3 Days,3010,3211,2026-07-29
Chhattisgarh,Rajnandgaon,Hubli,Wheat,WH-1105,2183,3936,3084,5194,Stable,High,Medium,Average,Yes,Medium,Yes,Rabi,Drought,3856,171,3.0,Next Week,3949,3894,2026-07-30
Maharashtra,Nashik,Ahmedabad,Groundnut,Phule Pragati,684,4798,3673,5983,Rising,Medium,High,Average,Yes,High,Yes,Zaid,Drought,1560,364,4.1,Today,4930,5149,2026-07-25
Bihar,Purnia,Varanasi,Turmeric,Nanded Turmeric,399,3443,2728,3755,Stable,Low,Medium,Average,No,Medium,No,Perennial,Heatwave,1854,295,3.4,Next Week,3418,3432,2026-07-24
Chhattisgarh,Ambikapur,Hubli,Maize,HQPM-1,7412,1364,1023,1708,Falling,Medium,Medium,Good,Yes,Low,Yes,Zaid,Heatwave,2256,169,4.4,Within 10 Days,1334,1271,2026-07-30
Tamil Nadu,Vellore,Bhopal,Pulses,Moong Dal,1209,4404,3375,5539,Falling,Medium,Medium,Premium,Yes,Low,Yes,Kharif,Drought,1955,59,4.0,Today,4060,4026,2026-07-27
Telangana,Adilabad,Kurnool,Onion,Red Onion,3666,1699,1463,2260,Rising,Low,Low,Premium,No,High,Yes,Zaid,Normal,4871,385,4.9,Hold for 15 Days,1816,1918,2026-08-02
West Bengal,Jalpaiguri,Sangli,Millet,Bajra Millet,1203,1383,1061,1579,Stable,Medium,High,Good,Yes,High,Yes,Rabi,Cold Wave,4969,325,4.9,Hold for 30 Days,1396,1371,2026-08-01
Bihar,Munger,Kota,Turmeric,Nanded Turmeric,7047,5855,4893,7362,Stable,High,High,Average,No,High,No,Zaid,Cold Wave,4806,171,4.7,Hold for 15 Days,5916,5814,2026-07-28
Andhra Pradesh,Vijayawada,Ahmedabad,Pulses,Moong Dal,3186,6737,5565,7998,Falling,Low,Low,Average,Yes,Medium,No,Kharif,Flood,4540,74,5.0,Next Week,6200,6389,2026-07-30
West Bengal,Malda,Lasalgaon,Onion,Ratnagiri Red,2328,980,811,1099,Rising,Low,Low,Good,No,High,Yes,Rabi,Drought,2399,158,3.2,Hold for 15 Days,1033,1050,2026-08-01
Odisha,Puri,Varanasi,Groundnut,GG-10,3432,3767,2849,4890,Rising,Low,Low,Good,Yes,Low,Yes,Zaid,Flood,3150,227,3.8,Today,4038,4040,2026-07-23
West Bengal,Jalpaiguri,Warangal,Rice,MTU-1010,6316,3573,3007,4003,Rising,High,Medium,Average,Yes,Low,Yes,Kharif,Cold Wave,3518,233,4.5,Hold for 30 Days,3752,3831,2026-07-29
Bihar,Arrah,Kolhapur,Sugarcane,Co-0238,1999,391,310,464,Stable,Low,Low,Good,Yes,High,Yes,Perennial,Heavy Rain,4881,106,4.0,Within 10 Days,392,393,2026-07-25
Punjab,Jalandhar,Pune,Onion,Pune Red,11268,2097,1723,2461,Stable,Low,High,Good,No,High,Yes,Zaid,Normal,1686,184,4.2,Hold for 15 Days,2107,2084,2026-07-30
Punjab,Bathinda,Kolhapur,Maize,Hybrid Maize,943,1271,1027,1648,Falling,High,Low,Good,No,High,No,Kharif,Cold Wave,3018,112,4.5,Within 3 Days,1184,1146,2026-07-29
Tamil Nadu,Vellore,Jaipur,Sugarcane,Co-13006,10998,476,360,535,Stable,High,Medium,Good,Yes,Low,No,Kharif,Cold Wave,4108,340,4.9,Today,473,465,2026-07-23
Uttar Pradesh,Varanasi,Lasalgaon,Garlic,G-100,996,6692,5570,8306,Rising,Medium,Low,Premium,Yes,Low,Yes,Perennial,Flood,4893,369,3.0,Within 3 Days,7196,7230,2026-07-26
Madhya Pradesh,Bhopal,Lasalgaon,Banana,Dwarf Cavendish,5872,1929,1712,2409,Stable,Low,Medium,Good,Yes,High,No,Rabi,Normal,1542,179,4.8,Within 10 Days,1901,1973,2026-07-25
Telangana,Rangareddy,Coimbatore,Potato,Chandrakhi,9436,1465,1210,1634,Stable,High,Medium,Average,Yes,Medium,Yes,Rabi,Heatwave,2831,357,4.4,Hold for 30 Days,1489,1454,2026-07-31
Telangana,Rangareddy,Warangal,Soybean,MAUS-61,2332,3136,2799,3510,Rising,Low,Low,Premium,No,High,No,Perennial,Heavy Rain,2785,231,4.5,Within 10 Days,3374,3378,2026-07-30
Karnataka,Mysuru,Hubli,Rice,Swarna Rice,1143,3965,3130,5018,Rising,Low,Low,Good,Yes,Low,No,Rabi,Drought,4415,314,3.9,Within 10 Days,4133,4501,2026-07-26
Rajasthan,Jodhpur,Hubli,Tomato,Deshi Tomato,1723,4876,4213,5533,Rising,High,Medium,Premium,Yes,Medium,Yes,Perennial,Heavy Rain,4313,357,3.6,Hold for 15 Days,5233,5328,2026-08-02
Andhra Pradesh,Chittoor,Patna,Chilli,Mathania Chilli,3896,6639,5703,8432,Stable,Low,Low,Premium,Yes,Low,No,Perennial,Drought,647,130,4.0,Hold for 15 Days,6767,6333,2026-07-27
Tamil Nadu,Salem,Belagavi,Garlic,G-282,3672,6960,5568,9243,Rising,Medium,Medium,Average,Yes,Medium,No,Perennial,Flood,1040,374,4.0,Within 3 Days,7424,7960,2026-07-25
Gujarat,Gandhinagar,Karnal,Chilli,Mathania Chilli,782,7176,5492,8377,Rising,Medium,Low,Average,Yes,Low,Yes,Kharif,Heavy Rain,1235,366,3.9,Next Week,7356,8042,2026-07-25
Andhra Pradesh,Visakhapatnam,Ludhiana,Pulses,Masoor Dal,3196,5438,4228,6085,Stable,High,Medium,Average,Yes,Low,No,Zaid,Heavy Rain,2835,378,4.5,Hold for 15 Days,5392,5264,2026-07-31
Punjab,Ludhiana,Jaipur,Onion,Red Onion,2088,3413,2697,4228,Stable,Medium,Low,Good,No,High,No,Perennial,Flood,950,312,4.2,Within 3 Days,3465,3337,2026-07-23
Tamil Nadu,Madurai,Azadpur,Soybean,JS-335,2725,3727,3161,4632,Rising,Medium,High,Good,Yes,High,Yes,Kharif,Heavy Rain,3715,96,3.3,Next Week,3938,4171,2026-07-24
Andhra Pradesh,Nellore,Hubli,Turmeric,Nanded Turmeric,1525,5184,4678,6746,Falling,High,High,Good,Yes,Medium,No,Perennial,Drought,1402,67,4.4,Next Week,4871,4620,2026-07-30
Odisha,Berhampur,Jaipur,Wheat,Basmati Wheat,3038,3470,2854,4541,Falling,Low,Low,Good,No,High,Yes,Perennial,Drought,4557,378,4.3,Hold for 15 Days,3360,3256,2026-07-30
Odisha,Sambalpur,Belagavi,Rice,Basmati Rice,1954,3881,3316,4625,Rising,Low,High,Premium,No,Low,No,Rabi,Heavy Rain,392,332,3.4,Next Week,4017,4101,2026-07-29
Tamil Nadu,Thoothukudi,Indore,Rice,Basmati Rice,5510,4323,3947,5640,Stable,Medium,Medium,Premium,No,Low,No,Perennial,Cold Wave,4187,23,4.3,Hold for 15 Days,4263,4305,2026-07-25
Chhattisgarh,Rajnandgaon,Salem,Grapes,Cheema Saheb,3470,4230,3399,5180,Stable,Low,Medium,Premium,No,Low,No,Kharif,Heavy Rain,1523,148,4.7,Next Week,4311,4283,2026-07-31
Andhra Pradesh,East Godavari,Ludhiana,Soybean,Co-1,3591,2710,2157,2990,Stable,Medium,Low,Premium,No,Medium,No,Zaid,Heavy Rain,2070,273,3.6,Today,2696,2584,2026-07-30
Chhattisgarh,Bhilai,Salem,Millet,Bajra Millet,3756,1841,1609,2248,Falling,Low,High,Good,Yes,High,Yes,Rabi,Flood,1980,375,3.1,Hold for 15 Days,1772,1661,2026-08-02
