Disease_ID,Crop,Disease_Name,Disease_Type,Causal_Organism,Symptoms,Treatment,Organic_Control,Chemical_Control,Prevention,Favorable_Conditions,Severity,Yield_Loss_Percentage,Recommended_Fertilizer,Keywords
DIS0136,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Use certified seeds,Garlic extract spray,Chlorothalonil,Field sanitation,Cool weather,Medium,22,Balanced NPK,"Tomato,Bacterial Spot"
DIS0137,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Disease-free seeds,High humidity,High,47,Balanced NPK,"Tomato,Bacterial Spot"
DIS0138,Tomato,Bacterial Spot,Bacterial,Various,Wilting,Apply recommended fungicide,Compost tea,Copper Oxychloride,Disease-free seeds,Cool weather,Low,32,Balanced NPK,"Tomato,Bacterial Spot"
DIS0139,Tomato,Bacterial Spot,Bacterial,Various,Leaf curling,Apply recommended fungicide,Neem oil spray,Copper Oxychloride,Proper spacing,Poor air circulation,Low,9,Balanced NPK,"Tomato,Bacterial Spot"
DIS0140,Tomato,Bacterial Spot,Bacterial,Various,Stem lesions,Remove infected leaves,Neem oil spray,Mancozeb,Field sanitation,High humidity,High,46,Balanced NPK,"Tomato,Bacterial Spot"
DIS0141,Tomato,Bacterial Spot,Bacterial,Various,Leaf curling,Remove infected leaves,Garlic extract spray,Carbendazim,Balanced fertilization,Cool weather,High,46,Balanced NPK,"Tomato,Bacterial Spot"
DIS0142,Tomato,Bacterial Spot,Bacterial,Various,Yellowing of leaves,Apply copper-based fungicide,Compost tea,Carbendazim,Disease-free seeds,High humidity,Low,37,Balanced NPK,"Tomato,Bacterial Spot"
DIS0143,Tomato,Bacterial Spot,Bacterial,Various,Leaf curling,Apply copper-based fungicide,Compost tea,Copper Oxychloride,Proper spacing,Heavy rainfall,Medium,55,Balanced NPK,"Tomato,Bacterial Spot"
DIS0144,Tomato,Bacterial Spot,Bacterial,Various,Stem lesions,Use certified seeds,Compost tea,Mancozeb,Crop rotation,Poor air circulation,High,53,Balanced NPK,"Tomato,Bacterial Spot"
DIS0145,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Avoid overhead irrigation,Neem oil spray,Copper Oxychloride,Proper spacing,High humidity,High,9,Balanced NPK,"Tomato,Bacterial Spot"
DIS0146,Tomato,Bacterial Spot,Bacterial,Various,White fungal growth,Use certified seeds,Garlic extract spray,Mancozeb,Field sanitation,Poor air circulation,High,59,Balanced NPK,"Tomato,Bacterial Spot"
DIS0147,Tomato,Bacterial Spot,Bacterial,Various,Leaf curling,Remove infected leaves,Trichoderma application,Carbendazim,Field sanitation,Cool weather,Medium,39,Balanced NPK,"Tomato,Bacterial Spot"
DIS0148,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Use certified seeds,Neem oil spray,Carbendazim,Disease-free seeds,Cool weather,Low,16,Balanced NPK,"Tomato,Bacterial Spot"
DIS0149,Tomato,Bacterial Spot,Bacterial,Various,White fungal growth,Remove infected leaves,Compost tea,Copper Oxychloride,Crop rotation,High humidity,Medium,58,Balanced NPK,"Tomato,Bacterial Spot"
DIS0150,Tomato,Bacterial Spot,Bacterial,Various,Leaf drying,Use certified seeds,Compost tea,Chlorothalonil,Disease-free seeds,Heavy rainfall,High,54,Balanced NPK,"Tomato,Bacterial Spot"
DIS0151,Tomato,Bacterial Spot,Bacterial,Various,Yellowing of leaves,Improve drainage,Garlic extract spray,Copper Oxychloride,Field sanitation,High humidity,Medium,39,Balanced NPK,"Tomato,Bacterial Spot"
DIS0152,Tomato,Bacterial Spot,Bacterial,Various,Stem lesions,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Balanced fertilization,Cool weather,Medium,19,Balanced NPK,"Tomato,Bacterial Spot"
DIS0153,Tomato,Bacterial Spot,Bacterial,Various,Stem lesions,Improve drainage,Garlic extract spray,Copper Oxychloride,Proper spacing,Cool weather,High,24,Balanced NPK,"Tomato,Bacterial Spot"
DIS0154,Tomato,Bacterial Spot,Bacterial,Various,Leaf curling,Apply recommended fungicide,Compost tea,Mancozeb,Crop rotation,High humidity,High,39,Balanced NPK,"Tomato,Bacterial Spot"
DIS0155,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Proper spacing,High humidity,High,17,Balanced NPK,"Tomato,Bacterial Spot"
DIS0156,Tomato,Bacterial Spot,Bacterial,Various,Fruit rot,Apply copper-based fungicide,Compost tea,Mancozeb,Disease-free seeds,High humidity,Low,14,Balanced NPK,"Tomato,Bacterial Spot"
DIS0157,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Remove infected leaves,Neem oil spray,Copper Oxychloride,Crop rotation,High humidity,High,43,Balanced NPK,"Tomato,Bacterial Spot"
DIS0158,Tomato,Bacterial Spot,Bacterial,Various,Leaf curling,Apply recommended fungicide,Neem oil spray,Chlorothalonil,Disease-free seeds,Heavy rainfall,Medium,32,Balanced NPK,"Tomato,Bacterial Spot"
DIS0159,Tomato,Bacterial Spot,Bacterial,Various,White fungal growth,Remove infected leaves,Garlic extract spray,Chlorothalonil,Field sanitation,Cool weather,High,48,Balanced NPK,"Tomato,Bacterial Spot"
DIS0160,Tomato,Bacterial Spot,Bacterial,Various,White fungal growth,Improve drainage,Neem oil spray,Copper Oxychloride,Balanced fertilization,Poor air circulation,Low,26,Balanced NPK,"Tomato,Bacterial Spot"
DIS0161,Tomato,Septoria Leaf Spot,Fungal,Various,Yellowing of leaves,Improve drainage,Neem oil spray,Metalaxyl,Crop rotation,Poor air circulation,Low,41,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0162,Tomato,Septoria Leaf Spot,Fungal,Various,White fungal growth,Avoid overhead irrigation,Neem oil spray,Carbendazim,Balanced fertilization,Cool weather,Medium,37,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0163,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf drying,Use certified seeds,Compost tea,Copper Oxychloride,Crop rotation,Poor air circulation,Low,17,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0164,Tomato,Septoria Leaf Spot,Fungal,Various,White fungal growth,Improve drainage,Garlic extract spray,Chlorothalonil,Proper spacing,Poor air circulation,Low,13,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0165,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf drying,Remove infected leaves,Trichoderma application,Metalaxyl,Disease-free seeds,High humidity,Medium,54,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0166,Tomato,Septoria Leaf Spot,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Trichoderma application,Carbendazim,Balanced fertilization,Heavy rainfall,High,9,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0167,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf curling,Apply recommended fungicide,Neem oil spray,Chlorothalonil,Proper spacing,High humidity,Medium,27,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0168,Tomato,Septoria Leaf Spot,Fungal,Various,Wilting,Use certified seeds,Neem oil spray,Metalaxyl,Crop rotation,Poor air circulation,Medium,11,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0169,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf curling,Improve drainage,Garlic extract spray,Copper Oxychloride,Balanced fertilization,High humidity,High,12,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0170,Tomato,Septoria Leaf Spot,Fungal,Various,Fruit rot,Remove infected leaves,Trichoderma application,Carbendazim,Balanced fertilization,Cool weather,Medium,5,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0171,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf drying,Improve drainage,Neem oil spray,Metalaxyl,Crop rotation,Heavy rainfall,Low,30,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0172,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf drying,Use certified seeds,Compost tea,Carbendazim,Proper spacing,Poor air circulation,High,58,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0173,Tomato,Septoria Leaf Spot,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Trichoderma application,Metalaxyl,Field sanitation,Poor air circulation,High,30,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0174,Tomato,Septoria Leaf Spot,Fungal,Various,Stem lesions,Apply recommended fungicide,Neem oil spray,Copper Oxychloride,Proper spacing,High humidity,Medium,52,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0175,Tomato,Septoria Leaf Spot,Fungal,Various,White fungal growth,Remove infected leaves,Neem oil spray,Carbendazim,Balanced fertilization,Poor air circulation,Medium,9,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0176,Tomato,Septoria Leaf Spot,Fungal,Various,Stem lesions,Use certified seeds,Trichoderma application,Mancozeb,Disease-free seeds,Heavy rainfall,High,45,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0177,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf drying,Apply recommended fungicide,Compost tea,Copper Oxychloride,Proper spacing,High humidity,High,25,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0178,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf drying,Apply copper-based fungicide,Neem oil spray,Mancozeb,Disease-free seeds,Cool weather,Low,39,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0179,Tomato,Septoria Leaf Spot,Fungal,Various,White fungal growth,Avoid overhead irrigation,Compost tea,Carbendazim,Proper spacing,Cool weather,Medium,51,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0180,Tomato,Septoria Leaf Spot,Fungal,Various,Wilting,Apply copper-based fungicide,Trichoderma application,Copper Oxychloride,Disease-free seeds,Heavy rainfall,Medium,40,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0181,Tomato,Septoria Leaf Spot,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Disease-free seeds,High humidity,Low,59,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0182,Tomato,Septoria Leaf Spot,Fungal,Various,Wilting,Remove infected leaves,Compost tea,Metalaxyl,Crop rotation,Cool weather,Medium,41,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0183,Tomato,Septoria Leaf Spot,Fungal,Various,White fungal growth,Avoid overhead irrigation,Garlic extract spray,Carbendazim,Proper spacing,Poor air circulation,Low,34,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0184,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf curling,Apply copper-based fungicide,Neem oil spray,Metalaxyl,Balanced fertilization,High humidity,Low,28,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0185,Tomato,Septoria Leaf Spot,Fungal,Various,Wilting,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Disease-free seeds,High humidity,High,53,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0186,Tomato,Septoria Leaf Spot,Fungal,Various,Yellowing of leaves,Remove infected leaves,Compost tea,Chlorothalonil,Crop rotation,Poor air circulation,Low,60,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0187,Tomato,Septoria Leaf Spot,Fungal,Various,White fungal growth,Apply copper-based fungicide,Garlic extract spray,Carbendazim,Balanced fertilization,High humidity,Low,57,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0188,Tomato,Septoria Leaf Spot,Fungal,Various,Fruit rot,Improve drainage,Trichoderma application,Mancozeb,Field sanitation,Poor air circulation,Low,56,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0189,Tomato,Septoria Leaf Spot,Fungal,Various,Yellowing of leaves,Remove infected leaves,Compost tea,Copper Oxychloride,Disease-free seeds,High humidity,High,59,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0190,Tomato,Septoria Leaf Spot,Fungal,Various,Fruit rot,Remove infected leaves,Garlic extract spray,Mancozeb,Balanced fertilization,Poor air circulation,Medium,28,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0191,Tomato,Septoria Leaf Spot,Fungal,Various,Brown spots on leaves,Remove infected leaves,Trichoderma application,Metalaxyl,Disease-free seeds,Poor air circulation,Medium,52,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0192,Tomato,Septoria Leaf Spot,Fungal,Various,Wilting,Use certified seeds,Neem oil spray,Carbendazim,Balanced fertilization,High humidity,Medium,50,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0193,Tomato,Septoria Leaf Spot,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Garlic extract spray,Mancozeb,Proper spacing,Poor air circulation,Low,33,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0194,Tomato,Septoria Leaf Spot,Fungal,Various,Brown spots on leaves,Improve drainage,Compost tea,Chlorothalonil,Proper spacing,Poor air circulation,Low,31,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0195,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf curling,Use certified seeds,Compost tea,Metalaxyl,Balanced fertilization,Poor air circulation,High,33,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0196,Tomato,Septoria Leaf Spot,Fungal,Various,Yellowing of leaves,Improve drainage,Trichoderma application,Metalaxyl,Proper spacing,Poor air circulation,High,51,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0197,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf drying,Apply recommended fungicide,Garlic extract spray,Metalaxyl,Disease-free seeds,High humidity,High,30,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0198,Tomato,Septoria Leaf Spot,Fungal,Various,Yellowing of leaves,Use certified seeds,Neem oil spray,Mancozeb,Proper spacing,Heavy rainfall,Low,15,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0199,Tomato,Septoria Leaf Spot,Fungal,Various,Leaf curling,Apply recommended fungicide,Trichoderma application,Carbendazim,Proper spacing,Poor air circulation,Low,20,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0200,Tomato,Septoria Leaf Spot,Fungal,Various,Stem lesions,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Proper spacing,Poor air circulation,High,46,Balanced NPK,"Tomato,Septoria Leaf Spot"
DIS0201,Tomato,Target Spot,Fungal,Various,Wilting,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Disease-free seeds,Cool weather,Low,37,Balanced NPK,"Tomato,Target Spot"
DIS0202,Tomato,Target Spot,Fungal,Various,Wilting,Remove infected leaves,Compost tea,Carbendazim,Balanced fertilization,Cool weather,Medium,10,Balanced NPK,"Tomato,Target Spot"
DIS0203,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Improve drainage,Garlic extract spray,Carbendazim,Field sanitation,High humidity,Medium,17,Balanced NPK,"Tomato,Target Spot"
DIS0204,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Neem oil spray,Mancozeb,Disease-free seeds,High humidity,High,42,Balanced NPK,"Tomato,Target Spot"
DIS0205,Tomato,Target Spot,Fungal,Various,Leaf drying,Apply copper-based fungicide,Compost tea,Chlorothalonil,Field sanitation,High humidity,Medium,37,Balanced NPK,"Tomato,Target Spot"
DIS0206,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Trichoderma application,Metalaxyl,Disease-free seeds,Heavy rainfall,High,28,Balanced NPK,"Tomato,Target Spot"
DIS0207,Tomato,Target Spot,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Trichoderma application,Carbendazim,Crop rotation,Cool weather,High,41,Balanced NPK,"Tomato,Target Spot"
DIS0208,Tomato,Target Spot,Fungal,Various,Stem lesions,Improve drainage,Compost tea,Metalaxyl,Balanced fertilization,Poor air circulation,Low,27,Balanced NPK,"Tomato,Target Spot"
DIS0209,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Disease-free seeds,Heavy rainfall,Medium,33,Balanced NPK,"Tomato,Target Spot"
DIS0210,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Improve drainage,Trichoderma application,Chlorothalonil,Disease-free seeds,Heavy rainfall,Low,23,Balanced NPK,"Tomato,Target Spot"
DIS0211,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Use certified seeds,Garlic extract spray,Metalaxyl,Field sanitation,Poor air circulation,Medium,48,Balanced NPK,"Tomato,Target Spot"
DIS0212,Tomato,Target Spot,Fungal,Various,White fungal growth,Improve drainage,Garlic extract spray,Carbendazim,Proper spacing,Poor air circulation,High,45,Balanced NPK,"Tomato,Target Spot"
DIS0213,Tomato,Target Spot,Fungal,Various,White fungal growth,Use certified seeds,Garlic extract spray,Metalaxyl,Crop rotation,Poor air circulation,Low,43,Balanced NPK,"Tomato,Target Spot"
DIS0214,Tomato,Target Spot,Fungal,Various,Wilting,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Proper spacing,High humidity,High,47,Balanced NPK,"Tomato,Target Spot"
DIS0215,Tomato,Target Spot,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Garlic extract spray,Mancozeb,Disease-free seeds,Cool weather,High,28,Balanced NPK,"Tomato,Target Spot"
DIS0216,Tomato,Target Spot,Fungal,Various,Leaf curling,Apply copper-based fungicide,Garlic extract spray,Copper Oxychloride,Balanced fertilization,High humidity,High,8,Balanced NPK,"Tomato,Target Spot"
DIS0217,Tomato,Target Spot,Fungal,Various,Fruit rot,Improve drainage,Trichoderma application,Metalaxyl,Field sanitation,Poor air circulation,Low,48,Balanced NPK,"Tomato,Target Spot"
DIS0218,Tomato,Target Spot,Fungal,Various,Leaf curling,Improve drainage,Garlic extract spray,Chlorothalonil,Proper spacing,Heavy rainfall,Low,34,Balanced NPK,"Tomato,Target Spot"
DIS0219,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Trichoderma application,Metalaxyl,Balanced fertilization,Cool weather,Low,26,Balanced NPK,"Tomato,Target Spot"
DIS0220,Tomato,Target Spot,Fungal,Various,White fungal growth,Remove infected leaves,Compost tea,Copper Oxychloride,Proper spacing,Heavy rainfall,High,12,Balanced NPK,"Tomato,Target Spot"
DIS0221,Tomato,Target Spot,Fungal,Various,Stem lesions,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Disease-free seeds,High humidity,Low,22,Balanced NPK,"Tomato,Target Spot"
DIS0222,Tomato,Target Spot,Fungal,Various,White fungal growth,Avoid overhead irrigation,Neem oil spray,Metalaxyl,Proper spacing,Poor air circulation,Medium,56,Balanced NPK,"Tomato,Target Spot"
DIS0223,Tomato,Target Spot,Fungal,Various,Leaf curling,Use certified seeds,Compost tea,Copper Oxychloride,Field sanitation,High humidity,Medium,60,Balanced NPK,"Tomato,Target Spot"
DIS0224,Tomato,Target Spot,Fungal,Various,Leaf drying,Use certified seeds,Trichoderma application,Chlorothalonil,Field sanitation,Poor air circulation,High,35,Balanced NPK,"Tomato,Target Spot"
DIS0225,Tomato,Target Spot,Fungal,Various,White fungal growth,Remove infected leaves,Neem oil spray,Mancozeb,Field sanitation,Cool weather,High,44,Balanced NPK,"Tomato,Target Spot"
DIS0226,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Improve drainage,Trichoderma application,Copper Oxychloride,Field sanitation,Poor air circulation,High,9,Balanced NPK,"Tomato,Target Spot"
DIS0227,Tomato,Target Spot,Fungal,Various,White fungal growth,Avoid overhead irrigation,Trichoderma application,Chlorothalonil,Proper spacing,Heavy rainfall,High,39,Balanced NPK,"Tomato,Target Spot"
DIS0228,Tomato,Target Spot,Fungal,Various,Wilting,Remove infected leaves,Garlic extract spray,Mancozeb,Proper spacing,High humidity,Low,51,Balanced NPK,"Tomato,Target Spot"
DIS0229,Tomato,Target Spot,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Carbendazim,Proper spacing,Heavy rainfall,Medium,37,Balanced NPK,"Tomato,Target Spot"
DIS0230,Tomato,Target Spot,Fungal,Various,Yellowing of leaves,Improve drainage,Trichoderma application,Carbendazim,Proper spacing,High humidity,Low,9,Balanced NPK,"Tomato,Target Spot"
DIS0231,Tomato,Target Spot,Fungal,Various,Fruit rot,Apply copper-based fungicide,Compost tea,Mancozeb,Crop rotation,High humidity,High,60,Balanced NPK,"Tomato,Target Spot"
DIS0232,Tomato,Target Spot,Fungal,Various,Leaf drying,Apply copper-based fungicide,Neem oil spray,Carbendazim,Balanced fertilization,Heavy rainfall,Low,18,Balanced NPK,"Tomato,Target Spot"
DIS0233,Tomato,Target Spot,Fungal,Various,White fungal growth,Avoid overhead irrigation,Garlic extract spray,Metalaxyl,Balanced fertilization,Poor air circulation,Medium,42,Balanced NPK,"Tomato,Target Spot"
DIS0234,Tomato,Target Spot,Fungal,Various,Leaf curling,Remove infected leaves,Neem oil spray,Carbendazim,Proper spacing,Heavy rainfall,Low,40,Balanced NPK,"Tomato,Target Spot"
DIS0235,Tomato,Target Spot,Fungal,Various,Stem lesions,Improve drainage,Compost tea,Chlorothalonil,Proper spacing,Cool weather,Low,53,Balanced NPK,"Tomato,Target Spot"
DIS0236,Tomato,Target Spot,Fungal,Various,Brown spots on leaves,Improve drainage,Neem oil spray,Carbendazim,Balanced fertilization,Heavy rainfall,Low,12,Balanced NPK,"Tomato,Target Spot"
DIS0237,Tomato,Target Spot,Fungal,Various,Fruit rot,Use certified seeds,Compost tea,Copper Oxychloride,Disease-free seeds,Cool weather,Medium,50,Balanced NPK,"Tomato,Target Spot"
DIS0238,Tomato,Target Spot,Fungal,Various,Fruit rot,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Proper spacing,Poor air circulation,Low,11,Balanced NPK,"Tomato,Target Spot"
DIS0239,Tomato,Target Spot,Fungal,Various,Fruit rot,Apply recommended fungicide,Garlic extract spray,Mancozeb,Field sanitation,Poor air circulation,Medium,29,Balanced NPK,"Tomato,Target Spot"
DIS0240,Tomato,Target Spot,Fungal,Various,Brown spots on leaves,Improve drainage,Neem oil spray,Mancozeb,Proper spacing,Cool weather,Medium,29,Balanced NPK,"Tomato,Target Spot"
DIS0241,Tomato,Yellow Leaf Curl Virus,Viral,Various,Leaf drying,Avoid overhead irrigation,Trichoderma application,Copper Oxychloride,Balanced fertilization,High humidity,Medium,53,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0242,Tomato,Yellow Leaf Curl Virus,Viral,Various,White fungal growth,Use certified seeds,Trichoderma application,Chlorothalonil,Crop rotation,Cool weather,Low,56,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0243,Tomato,Yellow Leaf Curl Virus,Viral,Various,White fungal growth,Remove infected leaves,Neem oil spray,Chlorothalonil,Proper spacing,Cool weather,Medium,41,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0244,Tomato,Yellow Leaf Curl Virus,Viral,Various,Brown spots on leaves,Remove infected leaves,Neem oil spray,Carbendazim,Field sanitation,Poor air circulation,Medium,46,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0245,Tomato,Yellow Leaf Curl Virus,Viral,Various,Wilting,Use certified seeds,Compost tea,Carbendazim,Crop rotation,High humidity,Medium,5,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0246,Tomato,Yellow Leaf Curl Virus,Viral,Various,White fungal growth,Improve drainage,Trichoderma application,Mancozeb,Field sanitation,High humidity,Low,31,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0247,Tomato,Yellow Leaf Curl Virus,Viral,Various,Fruit rot,Use certified seeds,Neem oil spray,Copper Oxychloride,Balanced fertilization,Heavy rainfall,Medium,38,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0248,Tomato,Yellow Leaf Curl Virus,Viral,Various,Leaf curling,Apply copper-based fungicide,Compost tea,Chlorothalonil,Field sanitation,Cool weather,Medium,50,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0249,Tomato,Yellow Leaf Curl Virus,Viral,Various,Brown spots on leaves,Use certified seeds,Garlic extract spray,Chlorothalonil,Proper spacing,Poor air circulation,High,48,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0250,Tomato,Yellow Leaf Curl Virus,Viral,Various,Stem lesions,Improve drainage,Garlic extract spray,Mancozeb,Balanced fertilization,High humidity,Low,25,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0251,Tomato,Yellow Leaf Curl Virus,Viral,Various,Leaf curling,Avoid overhead irrigation,Garlic extract spray,Carbendazim,Balanced fertilization,Heavy rainfall,High,6,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0252,Tomato,Yellow Leaf Curl Virus,Viral,Various,Fruit rot,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Balanced fertilization,Cool weather,Low,58,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0253,Tomato,Yellow Leaf Curl Virus,Viral,Various,Fruit rot,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Disease-free seeds,Cool weather,Medium,53,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0254,Tomato,Yellow Leaf Curl Virus,Viral,Various,Yellowing of leaves,Avoid overhead irrigation,Garlic extract spray,Metalaxyl,Balanced fertilization,Heavy rainfall,High,10,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0255,Tomato,Yellow Leaf Curl Virus,Viral,Various,Leaf curling,Remove infected leaves,Compost tea,Carbendazim,Balanced fertilization,High humidity,High,44,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0256,Tomato,Yellow Leaf Curl Virus,Viral,Various,Wilting,Remove infected leaves,Trichoderma application,Metalaxyl,Field sanitation,Heavy rainfall,High,5,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0257,Tomato,Yellow Leaf Curl Virus,Viral,Various,Brown spots on leaves,Apply copper-based fungicide,Garlic extract spray,Mancozeb,Crop rotation,Cool weather,Low,18,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0258,Tomato,Yellow Leaf Curl Virus,Viral,Various,Fruit rot,Improve drainage,Compost tea,Metalaxyl,Field sanitation,Poor air circulation,Low,15,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0259,Tomato,Yellow Leaf Curl Virus,Viral,Various,Yellowing of leaves,Apply copper-based fungicide,Garlic extract spray,Carbendazim,Disease-free seeds,Poor air circulation,Medium,10,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0260,Tomato,Yellow Leaf Curl Virus,Viral,Various,Brown spots on leaves,Improve drainage,Garlic extract spray,Mancozeb,Balanced fertilization,High humidity,High,18,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0261,Tomato,Yellow Leaf Curl Virus,Viral,Various,Brown spots on leaves,Improve drainage,Garlic extract spray,Copper Oxychloride,Field sanitation,Heavy rainfall,High,33,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0262,Tomato,Yellow Leaf Curl Virus,Viral,Various,Yellowing of leaves,Use certified seeds,Garlic extract spray,Carbendazim,Disease-free seeds,Cool weather,Medium,31,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0263,Tomato,Yellow Leaf Curl Virus,Viral,Various,Fruit rot,Avoid overhead irrigation,Neem oil spray,Mancozeb,Balanced fertilization,Poor air circulation,Medium,51,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0264,Tomato,Yellow Leaf Curl Virus,Viral,Various,Fruit rot,Improve drainage,Compost tea,Metalaxyl,Proper spacing,Heavy rainfall,High,34,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
