Scheme_ID,Scheme_Name,Type,State,District,Category,Crop,Min_Land_Acres,Max_Land_Acres,Income_Limit,Gender,Age_Min,Age_Max,FPO_Required,Organic_Required,Irrigation_Required,Need,Eligibility,Benefit,Subsidy,Required_Documents,Apply_At,Official_Website,Keywords
AGRI143,RKVY-RAFTAAR (Rashtriya Krishi Vikas Yojana) (Andhra Pradesh Implementation),State Government,Andhra Pradesh,Kurnool,Subsidy,Vegetables,0.0,5.0,Below ₹5 Lakh/year,Female Only,18,75,No,No,No,Need financial assistance,"Farmers residing in Kurnool district of Andhra Pradesh, cultivating Vegetables, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Up to 50% project cost subsidy,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",Horticulture Department Office,State Agriculture Department Portal,"vegetables, subsidy, andhra pradesh farmer, kurnool, rkvy-raftaar, government subsidy, agricultural support"
AGRI144,Horticulture Cluster Development Program (CDP) (Bihar Implementation),Horticulture Department,Bihar,Muzaffarpur,Horticulture,Mango,0.0,10.0,None,All (Priority for Women),18,60,No,No,No,Need cluster infrastructure,"Farmers residing in Muzaffarpur district of Bihar, cultivating Mango, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Up to ₹50 lakh grant for post-harvest support,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",State Agriculture Department Portal,https://midh.gov.in/,"mango, horticulture, bihar farmer, muzaffarpur, horticulture, government subsidy, agricultural support"
AGRI145,National Livestock Mission - Assam Dairy Initiative,Central Government,Assam,Jorhat,Dairy,Dairy,0.0,20.0,None,Male & Female,21,75,No,No,No,Need dairy development,"Farmers residing in Jorhat district of Assam, cultivating Dairy, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",50% capital subsidy for farm setup,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",FPO Office,https://nlm.udyamimitra.in/,"dairy, dairy, assam farmer, jorhat, national, government subsidy, agricultural support"
AGRI146,Cooperative Agricultural Credit Structure Scheme (Haryana Implementation),Cooperative,Haryana,Karnal,Credit,Cotton,0.0,5.0,None,Male & Female,21,75,Yes,No,No,Need short term crop credit,"Farmers residing in Karnal district of Haryana, cultivating Cotton, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Low interest short term loans,60%,"Aadhaar Card, Land ownership document, Bank account details",CSC Center,State Agriculture Department Portal,"cotton, credit, haryana farmer, karnal, cooperative, government subsidy, agricultural support"
AGRI147,RKVY-RAFTAAR (Rashtriya Krishi Vikas Yojana) (Telangana Implementation),State Government,Telangana,Khammam,Subsidy,Maize,0.0,5.0,Below ₹5 Lakh/year,All,21,60,No,No,No,Need financial assistance,"Farmers residing in Khammam district of Telangana, cultivating Maize, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Up to 50% project cost subsidy,40%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",District Agriculture Office,State Agriculture Department Portal,"maize, subsidy, telangana farmer, khammam, rkvy-raftaar, government subsidy, agricultural support"
AGRI148,AIF - Tamil Nadu Fruits Initiative,Central Government,Tamil Nadu,Thanjavur,Storage,Tomato,1.0,5.0,Below ₹1.5 Lakh/year,Male & Female,21,60,Yes,No,No,Need cold storage and infrastructure,"Farmers residing in Thanjavur district of Tamil Nadu, cultivating Tomato, owning between 1.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",3% interest subvention up to ₹2 crore,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",State Agriculture Department Portal,https://agriinfra.dac.gov.in/,"tomato, storage, tamil nadu farmer, thanjavur, aif, government subsidy, agricultural support"
AGRI149,SMAM - Bihar Darbhanga Chapter,State Government,Bihar,Darbhanga,Farm Mechanization,Rice,1.0,25.0,Below ₹1.5 Lakh/year,Male & Female,18,75,No,No,No,Need farm machinery,"Farmers residing in Darbhanga district of Bihar, cultivating Rice, owning between 1.0 and 25.0 acres of land, registered with the state agriculture portal.",40% to 50% subsidy on farm implements,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",CSC Center,https://agrimachinery.nic.in/,"rice, farm mechanization, bihar farmer, darbhanga, smam, government subsidy, agricultural support"
AGRI150,RKVY-RAFTAAR - West Bengal Pulses Initiative,State Government,West Bengal,Murshidabad,Subsidy,Maize,0.0,2.0,None,All (Priority for Women),21,70,No,No,No,Need financial assistance,"Farmers residing in Murshidabad district of West Bengal, cultivating Maize, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Up to 50% project cost subsidy,Interest subvention of 3%,"Aadhaar Card, Land ownership document, Bank account details",FPO Office,State Agriculture Department Portal,"maize, subsidy, west bengal farmer, murshidabad, rkvy-raftaar, government subsidy, agricultural support"
AGRI151,Fisheries Infrastructure Development Fund - Odisha Fisheries Initiative,NABARD Supported,Odisha,Sambalpur,Fisheries,Fisheries,0.0,5.0,Below ₹5 Lakh/year,All,18,70,Yes,No,No,Need fisheries storage and market access,"Farmers residing in Sambalpur district of Odisha, cultivating Fisheries, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Interest subvention up to 3%,50%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",Block Development Office,https://nabard.org/,"fisheries, fisheries, odisha farmer, sambalpur, fisheries, government subsidy, agricultural support"
AGRI152,National Livestock Mission - Rajasthan Udaipur Chapter,State Government,Rajasthan,Udaipur,Dairy,Dairy,0.0,20.0,Below ₹2.5 Lakh/year,All (Priority for Women),21,70,Yes,No,No,Need dairy development,"Farmers residing in Udaipur district of Rajasthan, cultivating Dairy, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",50% capital subsidy for farm setup,Up to ₹5 lakh,"Aadhaar Card, Land ownership document, Bank account details",PM Kisan Portal,https://nlm.udyamimitra.in/,"dairy, dairy, rajasthan farmer, udaipur, national, government subsidy, agricultural support"
AGRI153,Sub-Mission on Seeds and Planting Material (SMSP) (Rajasthan Implementation),Agriculture Department,Rajasthan,Ganganagar,Subsidy,Vegetables,0.0,20.0,Below ₹1.5 Lakh/year,Male & Female,21,75,No,No,No,Need quality seeds,"Farmers residing in Ganganagar district of Rajasthan, cultivating Vegetables, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",50% subsidy on certified seed distribution,30%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",PM Kisan Portal,State Agriculture Department Portal,"vegetables, subsidy, rajasthan farmer, ganganagar, sub-mission, government subsidy, agricultural support"
AGRI154,e-NAM - Bihar Darbhanga Chapter,State Government,Bihar,Darbhanga,Marketing,Grapes,0.0,20.0,Below ₹1.5 Lakh/year,All,18,70,Yes,No,No,Need market linkage,"Farmers residing in Darbhanga district of Bihar, cultivating Grapes, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details",Horticulture Department Office,https://www.enam.gov.in/,"grapes, marketing, bihar farmer, darbhanga, e-nam, government subsidy, agricultural support"
AGRI155,Cooperative Agricultural Credit Structure Scheme (Uttar Pradesh Implementation),Cooperative,Uttar Pradesh,Kanpur,Credit,Potato,0.0,5.0,Below ₹5 Lakh/year,All,21,70,No,No,No,Need short term crop credit,"Farmers residing in Kanpur district of Uttar Pradesh, cultivating Potato, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Low interest short term loans,Up to ₹5 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",CSC Center,State Agriculture Department Portal,"potato, credit, uttar pradesh farmer, kanpur, cooperative, government subsidy, agricultural support"
AGRI156,MIDH - Telangana Potato Initiative,Horticulture Department,Telangana,Nizamabad,Horticulture,Vegetables,0.0,5.0,None,Female Only,21,65,No,No,No,Need horticulture support,"Farmers residing in Nizamabad district of Telangana, cultivating Vegetables, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",35% to 50% subsidy on planting material,75%,"Aadhaar Card, Land ownership document, Bank account details",State Agriculture Department Portal,https://midh.gov.in/,"vegetables, horticulture, telangana farmer, nizamabad, midh, government subsidy, agricultural support"
AGRI157,Soil Health Card Scheme (West Bengal Implementation),Agriculture Department,West Bengal,Burdwan,Soil Improvement,Wheat,0.0,5.0,Below ₹2.5 Lakh/year,All (Priority for Women),21,65,No,No,No,Need soil health assessment,"Farmers residing in Burdwan district of West Bengal, cultivating Wheat, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Free soil testing and recommendations,Up to ₹5 lakh,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card, Caste certificate (where applicable)",Block Development Office,https://soilhealth.dac.gov.in/,"wheat, soil improvement, west bengal farmer, burdwan, soil, government subsidy, agricultural support"
AGRI158,Pradhan Mantri Matsya Sampada Yojana (PMMSY) (Kerala Implementation),Central Government,Kerala,Palakkad,Fisheries,Fisheries,0.0,20.0,Below ₹5 Lakh/year,Female Only,21,75,No,Yes,No,Need aquaculture development,"Farmers residing in Palakkad district of Kerala, cultivating Fisheries, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",40% to 60% subsidy on fishery inputs,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",FPO Office,https://pmmsy.dof.gov.in/,"fisheries, fisheries, kerala farmer, palakkad, pradhan, government subsidy, agricultural support"
AGRI159,Kisan Credit Card (KCC) Scheme (Odisha Implementation),NABARD Supported,Odisha,Ganjam,Credit,Soybean,0.0,10.0,Below ₹5 Lakh/year,Female Only,21,65,No,No,No,Need financial assistance,"Farmers residing in Ganjam district of Odisha, cultivating Soybean, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Concessional interest rate at 4%,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details",PM Kisan Portal,https://www.nabard.org/,"soybean, credit, odisha farmer, ganjam, kisan, government subsidy, agricultural support"
AGRI160,PMKSY - Kerala Palakkad Chapter,State Government,Kerala,Palakkad,Irrigation,Tomato,0.0,10.0,Below ₹1.5 Lakh/year,All,21,65,No,No,Yes,Need irrigation support,"Farmers residing in Palakkad district of Kerala, cultivating Tomato, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",50% to 55% subsidy on drip/sprinkler,Interest subvention of 3%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",NABARD Office,https://pmksy.gov.in/,"tomato, irrigation, kerala farmer, palakkad, pmksy, government subsidy, agricultural support"
AGRI161,Kisan Credit Card (KCC) Scheme (Telangana Implementation),NABARD Supported,Telangana,Karimnagar,Credit,Sugarcane,0.0,5.0,None,Male & Female,21,65,No,No,Yes,Need financial assistance,"Farmers residing in Karimnagar district of Telangana, cultivating Sugarcane, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Concessional interest rate at 4%,60%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",CSC Center,https://www.nabard.org/,"sugarcane, credit, telangana farmer, karimnagar, kisan, government subsidy, agricultural support"
AGRI162,PM-KUSUM - Kerala Palakkad Chapter,State Government,Kerala,Palakkad,Irrigation,Wheat,0.0,10.0,Below ₹2.5 Lakh/year,Male & Female,18,65,No,No,Yes,Need irrigation support,"Farmers residing in Palakkad district of Kerala, cultivating Wheat, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,40%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",NABARD Office,https://pmkusum.mnre.gov.in/,"wheat, irrigation, kerala farmer, palakkad, pm-kusum, government subsidy, agricultural support"
AGRI163,Soil Health Card Scheme (Odisha Implementation),Agriculture Department,Odisha,Ganjam,Soil Improvement,Rice,0.0,2.0,Below ₹2.5 Lakh/year,Male & Female,21,65,No,No,No,Need soil health assessment,"Farmers residing in Ganjam district of Odisha, cultivating Rice, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Free soil testing and recommendations,Interest subvention of 3%,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card, Farmer registration certificate, Crop details",State Agriculture Department Portal,https://soilhealth.dac.gov.in/,"rice, soil improvement, odisha farmer, ganjam, soil, government subsidy, agricultural support"
AGRI164,Soil Health Card Scheme (Gujarat Implementation),Agriculture Department,Gujarat,Vadodara,Soil Improvement,Soybean,0.0,10.0,Below ₹2.5 Lakh/year,All (Priority for Women),21,60,No,No,No,Need soil health assessment,"Farmers residing in Vadodara district of Gujarat, cultivating Soybean, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Free soil testing and recommendations,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card",PM Kisan Portal,https://soilhealth.dac.gov.in/,"soybean, soil improvement, gujarat farmer, vadodara, soil, government subsidy, agricultural support"
AGRI165,ATMA - Uttar Pradesh Pulses Initiative,Agriculture Department,Uttar Pradesh,Gorakhpur,Skill Development,Vegetables,0.0,2.0,Below ₹2.5 Lakh/year,Male & Female,21,60,No,No,No,Need technical training and guidance,"Farmers residing in Gorakhpur district of Uttar Pradesh, cultivating Vegetables, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.","Free training, exposure visits, and demonstrations",40%,"Aadhaar Card, Land ownership document, Bank account details",FPO Office,State Agriculture Department Portal,"vegetables, skill development, uttar pradesh farmer, gorakhpur, atma, government subsidy, agricultural support"
AGRI166,"Formation and Promotion of 10,000 FPOs Scheme (Rajasthan Implementation)",FPO Support,Rajasthan,Jodhpur,FPO Development,Onion,0.0,5.0,Below ₹1.5 Lakh/year,All,18,60,Yes,Yes,No,Need market linkage and aggregation,"Farmers residing in Jodhpur district of Rajasthan, cultivating Onion, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative. Must adhere to certified organic farming practices.",Up to ₹18 lakh financial support per FPO,60%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",Block Development Office,https://www.sfacindia.com/,"onion, fpo development, rajasthan farmer, jodhpur, formation, government subsidy, agricultural support"
AGRI167,PM-KUSUM (Solar Agriculture Pumps Scheme) (Tamil Nadu Implementation),Central Government,Tamil Nadu,Tiruchirappalli,Irrigation,Cotton,0.0,25.0,Below ₹2.5 Lakh/year,Female Only,18,70,Yes,No,Yes,Need irrigation support,"Farmers residing in Tiruchirappalli district of Tamil Nadu, cultivating Cotton, owning between 0.0 and 25.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to 60% subsidy on solar pump installation,50%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",State Agriculture Department Portal,https://pmkusum.mnre.gov.in/,"cotton, irrigation, tamil nadu farmer, tiruchirappalli, pm-kusum, government subsidy, agricultural support"
AGRI168,ATMA - West Bengal Hooghly Chapter,State Government,West Bengal,Hooghly,Skill Development,Rice,0.0,20.0,None,Male & Female,18,70,No,No,Yes,Need technical training and guidance,"Farmers residing in Hooghly district of West Bengal, cultivating Rice, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.","Free training, exposure visits, and demonstrations",30%,"Aadhaar Card, Land ownership document, Bank account details",District Agriculture Office,State Agriculture Department Portal,"rice, skill development, west bengal farmer, hooghly, atma, government subsidy, agricultural support"
AGRI169,Sub-Mission on Seeds and Planting Material (SMSP) (Telangana Implementation),Agriculture Department,Telangana,Nizamabad,Subsidy,Pulses,0.0,5.0,Below ₹5 Lakh/year,All (Priority for Women),21,60,No,Yes,No,Need quality seeds,"Farmers residing in Nizamabad district of Telangana, cultivating Pulses, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",50% subsidy on certified seed distribution,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",State Agriculture Department Portal,State Agriculture Department Portal,"pulses, subsidy, telangana farmer, nizamabad, sub-mission, government subsidy, agricultural support"
AGRI170,Sub-Mission on Seeds and Planting Material - Kerala Alappuzha Chapter,State Government,Kerala,Alappuzha,Subsidy,Millet,0.0,5.0,Below ₹5 Lakh/year,All (Priority for Women),21,60,No,No,No,Need quality seeds,"Farmers residing in Alappuzha district of Kerala, cultivating Millet, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",50% subsidy on certified seed distribution,40%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",PM Kisan Portal,State Agriculture Department Portal,"millet, subsidy, kerala farmer, alappuzha, sub-mission, government subsidy, agricultural support"
AGRI171,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi) (Bihar Implementation),Central Government,Bihar,Patna,Credit,Wheat,0.0,5.0,None,Male & Female,18,70,No,No,No,Need credit support,"Farmers residing in Patna district of Bihar, cultivating Wheat, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.","₹6,000 per year in 3 installments",Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",FPO Office,https://pmkisan.gov.in/,"wheat, credit, bihar farmer, patna, pm-kisan, government subsidy, agricultural support"
AGRI172,PMKSY - Punjab Bhatinda Chapter,State Government,Punjab,Bhatinda,Irrigation,Vegetables,0.0,10.0,None,Male & Female,21,70,No,No,Yes,Need irrigation support,"Farmers residing in Bhatinda district of Punjab, cultivating Vegetables, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",50% to 55% subsidy on drip/sprinkler,30%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",NABARD Office,https://pmksy.gov.in/,"vegetables, irrigation, punjab farmer, bhatinda, pmksy, government subsidy, agricultural support"
AGRI173,Fisheries Infrastructure Development Fund (FIDF) (Bihar Implementation),NABARD Supported,Bihar,Bhagalpur,Fisheries,Fisheries,0.0,5.0,Below ₹2.5 Lakh/year,All,21,60,No,No,No,Need fisheries storage and market access,"Farmers residing in Bhagalpur district of Bihar, cultivating Fisheries, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Interest subvention up to 3%,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details",PM Kisan Portal,https://nabard.org/,"fisheries, fisheries, bihar farmer, bhagalpur, fisheries, government subsidy, agricultural support"
AGRI174,Pradhan Mantri Matsya Sampada Yojana - Tamil Nadu Coimbatore Chapter,State Government,Tamil Nadu,Coimbatore,Fisheries,Fisheries,0.0,20.0,Below ₹1.5 Lakh/year,All,18,70,Yes,No,No,Need aquaculture development,"Farmers residing in Coimbatore district of Tamil Nadu, cultivating Fisheries, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",40% to 60% subsidy on fishery inputs,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",Horticulture Department Office,https://pmmsy.dof.gov.in/,"fisheries, fisheries, tamil nadu farmer, coimbatore, pradhan, government subsidy, agricultural support"
AGRI175,Kisan Credit Card (KCC) Scheme (Gujarat Implementation),NABARD Supported,Gujarat,Vadodara,Credit,Rice,0.0,2.0,Below ₹1.5 Lakh/year,All (Priority for Women),18,70,No,No,No,Need financial assistance,"Farmers residing in Vadodara district of Gujarat, cultivating Rice, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Concessional interest rate at 4%,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Horticulture Department Office,https://www.nabard.org/,"rice, credit, gujarat farmer, vadodara, kisan, government subsidy, agricultural support"
AGRI176,e-NAM - Bihar Grapes Initiative,Central Government,Bihar,Patna,Marketing,Soybean,0.0,2.0,Below ₹2.5 Lakh/year,All,18,75,Yes,No,No,Need market linkage,"Farmers residing in Patna district of Bihar, cultivating Soybean, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,https://www.enam.gov.in/,"soybean, marketing, bihar farmer, patna, e-nam, government subsidy, agricultural support"
AGRI177,RKVY-RAFTAAR - Tamil Nadu Wheat Initiative,State Government,Tamil Nadu,Salem,Subsidy,Maize,0.0,10.0,None,All (Priority for Women),21,65,Yes,No,No,Need financial assistance,"Farmers residing in Salem district of Tamil Nadu, cultivating Maize, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to 50% project cost subsidy,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",NABARD Office,State Agriculture Department Portal,"maize, subsidy, tamil nadu farmer, salem, rkvy-raftaar, government subsidy, agricultural support"
AGRI178,e-NAM (National Agriculture Market) (Madhya Pradesh Implementation),Central Government,Madhya Pradesh,Indore,Marketing,Soybean,0.0,5.0,None,Male & Female,18,65,Yes,No,No,Need market linkage,"Farmers residing in Indore district of Madhya Pradesh, cultivating Soybean, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,30%,"Aadhaar Card, Land ownership document, Bank account details",District Agriculture Office,https://www.enam.gov.in/,"soybean, marketing, madhya pradesh farmer, indore, e-nam, government subsidy, agricultural support"
AGRI179,MIDH (Mission for Integrated Development of Horticulture) (Odisha Implementation),Horticulture Department,Odisha,Balasore,Horticulture,Tomato,0.0,10.0,None,All,18,65,No,No,No,Need horticulture support,"Farmers residing in Balasore district of Odisha, cultivating Tomato, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",35% to 50% subsidy on planting material,50%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",FPO Office,https://midh.gov.in/,"tomato, horticulture, odisha farmer, balasore, midh, government subsidy, agricultural support"
AGRI180,PMKSY - Punjab Patiala Chapter,State Government,Punjab,Patiala,Irrigation,Vegetables,1.0,25.0,Below ₹1.5 Lakh/year,Male & Female,18,75,No,No,Yes,Need irrigation support,"Farmers residing in Patiala district of Punjab, cultivating Vegetables, owning between 1.0 and 25.0 acres of land, registered with the state agriculture portal.",50% to 55% subsidy on drip/sprinkler,60%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Horticulture Department Office,https://pmksy.gov.in/,"vegetables, irrigation, punjab farmer, patiala, pmksy, government subsidy, agricultural support"
AGRI181,Soil Health Card Scheme - Punjab Pulses Initiative,Agriculture Department,Punjab,Jalandhar,Soil Improvement,Soybean,0.0,20.0,Below ₹1.5 Lakh/year,All,18,70,No,No,No,Need soil health assessment,"Farmers residing in Jalandhar district of Punjab, cultivating Soybean, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",Free soil testing and recommendations,Interest subvention of 3%,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card",PM Kisan Portal,https://soilhealth.dac.gov.in/,"soybean, soil improvement, punjab farmer, jalandhar, soil, government subsidy, agricultural support"
AGRI182,Pradhan Mantri Matsya Sampada Yojana (PMMSY) (Telangana Implementation),Central Government,Telangana,Khammam,Fisheries,Fisheries,0.0,20.0,Below ₹5 Lakh/year,All (Priority for Women),18,70,No,Yes,No,Need aquaculture development,"Farmers residing in Khammam district of Telangana, cultivating Fisheries, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",40% to 60% subsidy on fishery inputs,75%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",FPO Office,https://pmmsy.dof.gov.in/,"fisheries, fisheries, telangana farmer, khammam, pradhan, government subsidy, agricultural support"
AGRI183,Horticulture Cluster Development Program (CDP) (Bihar Implementation),Horticulture Department,Bihar,Gaya,Horticulture,Fruits,0.0,2.0,Below ₹2.5 Lakh/year,Male & Female,21,65,No,No,No,Need cluster infrastructure,"Farmers residing in Gaya district of Bihar, cultivating Fruits, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Up to ₹50 lakh grant for post-harvest support,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details",PM Kisan Portal,https://midh.gov.in/,"fruits, horticulture, bihar farmer, gaya, horticulture, government subsidy, agricultural support"
AGRI184,AIF (Agriculture Infrastructure Fund) (Rajasthan Implementation),Central Government,Rajasthan,Udaipur,Storage,Fruits,2.0,10.0,Below ₹2.5 Lakh/year,Male & Female,18,60,Yes,Yes,No,Need cold storage and infrastructure,"Farmers residing in Udaipur district of Rajasthan, cultivating Fruits, owning between 2.0 and 10.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative. Must adhere to certified organic farming practices.",3% interest subvention up to ₹2 crore,Premium subsidy up to 90%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",PM Kisan Portal,https://agriinfra.dac.gov.in/,"fruits, storage, rajasthan farmer, udaipur, aif, government subsidy, agricultural support"
AGRI185,"Formation and Promotion of 10,000 FPOs Scheme - Uttar Pradesh Onion Initiative",FPO Support,Uttar Pradesh,Varanasi,FPO Development,Soybean,0.0,2.0,Below ₹2.5 Lakh/year,All (Priority for Women),18,70,Yes,No,No,Need market linkage and aggregation,"Farmers residing in Varanasi district of Uttar Pradesh, cultivating Soybean, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹18 lakh financial support per FPO,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details",State Agriculture Department Portal,https://www.sfacindia.com/,"soybean, fpo development, uttar pradesh farmer, varanasi, formation, government subsidy, agricultural support"
AGRI186,"Formation and Promotion of 10,000 FPOs Scheme - Tamil Nadu Tomato Initiative",FPO Support,Tamil Nadu,Thanjavur,FPO Development,Fruits,0.0,20.0,Below ₹5 Lakh/year,All (Priority for Women),21,65,Yes,No,No,Need market linkage and aggregation,"Farmers residing in Thanjavur district of Tamil Nadu, cultivating Fruits, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹18 lakh financial support per FPO,50%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",NABARD Office,https://www.sfacindia.com/,"fruits, fpo development, tamil nadu farmer, thanjavur, formation, government subsidy, agricultural support"
AGRI187,Soil Health Card Scheme (Madhya Pradesh Implementation),Agriculture Department,Madhya Pradesh,Indore,Soil Improvement,Soybean,0.0,2.0,Below ₹2.5 Lakh/year,Female Only,18,60,No,No,No,Need soil health assessment,"Farmers residing in Indore district of Madhya Pradesh, cultivating Soybean, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Free soil testing and recommendations,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card, Caste certificate (where applicable), Farmer registration certificate, Crop details",FPO Office,https://soilhealth.dac.gov.in/,"soybean, soil improvement, madhya pradesh farmer, indore, soil, government subsidy, agricultural support"
